id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk5247,RMNY,1,,Budapest Nat phot. (Wien) – Eichstätt Nat 3* – Wien Nat 1,2,"Salzburg, Studienbibliothek (GW 3702)",1
ermk5248,RMNY,2,,Budapest Nat 1 – Budapest Univ 1 – Kraków Czartoryski 1 – Leipzig Univ 1 – Leningrad Nat 1 – Paris Nat 1 – Praha Univ 1 – Princeton Univ 1 – Roma Acad – Wien Nat 1,10,"Braunsberg, Bibliothek der Akademie (GW 6686)",1
ermk5250,RMNY,3,,Berlin Nat 1 (A-var.) – Budapest Univ 1 (A-var.) 2* (B-var.) – Gyöngyös 2 (A-var.) – Martin Nat 1  (Diecézna knižnica Nitra?),5,,0
ermk5251,RMNY,4,,,0,,0
ermk5252,RMNY,5,,Budapest Univ 1,1,,0
ermk5253,RMNY,6,,Bratislava Civ 1,1,,0
,RMNY,6,A,"Marosvásárhely, Teleki-Bolyai Könyvtár",1,,0
,RMNY,6,C,"Marosvásárhely, Teleki-Bolyai Könyvtár",1,,0
,RMNY,6,B,"Marosvásárhely, Teleki-Bolyai Könyvtár",1,,0
,RMNY,6,D,Uppsala Univ 1,1,,0
ermk5263,RMNY,7,,Gdańsk Acad 1,1,,0
ermk5264,RMNY,8,,Bucureşti Acad 1 – Gdańsk Acad 1 – Kraków Univ 4,3,"Szentpétervár, Császári Könyvtár (MKsz 1879: 172)",1
ermk5266,RMNY,9,,,0,,0
ermk5268,RMNY,10,,,0,,0
ermk5269,RMNY,11,,Budapest Nat 2,1,Wilno (Estreicher 18: 179),1
ermk5272,RMNY,12,,Budapest Nat 4 – Kraków Arch 4 4 4,4,,0
ermk5275,RMNY,13,,"Bratislava Acad 2 – Budapest Acad 2 facs. suppl. 3* facs. suppl. – Budapest Nat 2 facs. suppl. 2 3 (Szeged, francisc.) – Budapest Univ 1 – Cluj Univ 4* – London BM 2 (Nagy István) – Sárospatak Ref 2 – Wien Nat 1",11,,0
ermk5276,RMNY,14,,Budapest Nat 2* (B-var.) + phot. suppl. (Schwaz) – Kraków Univ 4 – Schwaz 1 (A-var.) – Sibiu Mus 2,4,,0
ermk5282,RMNY,15,,Aiud 3 – Budapest Acad 2 – Budapest Nat 2 – London BM 3 (Nagy István),4,,0
ermk5284,RMNY,16,,Bratislava Acad 2 – Budapest Acad 2 3 – Budapest Nat 1 1 – Budapest Univ 3 – Cluj Acad II 2 – Cluj Univ 2* – Debrecen Univ 3 – Pécs Univ 3 – Wien Nat 1 – Wrocław Univ 1,12,"Sepsiszentgyörgy, Mus (Varga 7.) – Szatmári egyházmegye – Szeged, franc. zárda – (Budapest) Nagy István",4
ermk5285,RMNY,17,,Budapest Acad 1 – Budapest Nat 1 (szathmári püspök könyvtára ← Sándor István) – Wien Nat 1,3,"Lengyel, Apponyi Sándor",1
,RMNY,18,,"Budapest Nat phot. (Kraków, Praha) – Kraków Univ 4* – Praha Strahov 4",2,"Budapest, Ágoston József (MKsz 1886: 343; 1887: 215)",1
ermk5287,RMNY,19,,,0,,0
ermk5288,RMNY,20,,,0,"Csíksomlyó, francisc. (MKsz 1879: 182; RMK III 320; Dézsi Lajos: Szent Ágoston reguláinak magyar fordítása Coelius Bánffy Gergelytől. Bp. 1900, 11)",3
ermk5289,RMNY,21,,Bratislava Acad 2 – Budapest Acad 2* – Budapest Nat 1 1 – Cluj Univ 2* – Kalocsa Dioec 1 – Zagreb Univ 4*,7,,0
ermk5290,RMNY,22,,,0,,0
ermk5291,RMNY,23,,,0,"Kecskemét, Városi Könyvtár (MKsz 1925: 146–147)",1
ermk5293,RMNY,24,,Kraków Univ 4,1,,0
ermk5294,RMNY,25,,,0,"Kecskemét, Városi könyvtár (MKsz 1925: 146)",1
ermk5295,RMNY,26,,,0,,0
ermk5296,RMNY,27,,,0,,0
ermk5298,RMNY,28,,Braşov Ev 1 – Budapest Nat phot. (Braşov),1,"Segesvár, ev. gymn.",1
ermk5299,RMNY,29,,Alba Iulia 2* – Braşov Arch 1 – Braşov Ev 1 1 1 1 – Budapest Acad 1 2 – Budapest Nat 1 1 – Budapest Univ 2 – Cluj Univ 1 – Sibiu Mus 1 1 – Tîrgu Mureş 3,15,,0
ermk5300,RMNY,30,,Alba Iulia 1 – Braşov Arch 1 – Braşov Ev 1 1 – Budapest Acad 1 1 – Budapest Nat 2* 2 – Budapest Univ 1 – Cluj Univ 1 – Sibiu Mus 1 – Tîrgu Mureş 2,12,"Nagyszeben, ev. gymn.",1
ermk5301,RMNY,31,,Braşov Ev 4* – Budapest Nat 1 – Mediaş Ev 1,3,,0
ermk5303,RMNY,32,,,0,,0
ermk5304,RMNY,33,,,0,,0
ermk5305,RMNY,34,,Braşov Ev 1 1 – Budapest Nat phot.,2,,0
ermk5306,RMNY,35,,Braşov Arch 2* – Braşov Ev 1 1 1 – Budapest Acad 1 – Budapest Nat 1 2 – Budapest Univ 1 – Cluj Univ 1 – Sibiu Mus 1 – Tîrgu Mureş 1 3,12,,0
ermk5307,RMNY,36,,"Budapest Nat 1 – Sibiu Ev 1 (Brassó, ev. gymn.)",2,"Segesvár, ev. gymn.",1
ermk5308,RMNY,37,,Braşov Arch 1 – Braşov Ev 1 – Budapest Nat 1 2* – Mediaş Ev 1,5,,0
ermk5309,RMNY,38,,Budapest Nat 1 – Mediaş Ev 1,2,,0
ermk5311,RMNY,39,,Budapest Nat O*,1,,0
ermk5313,RMNY,40,,Braşov Ev 1 – Budapest Nat phot. (Braşov),1,"Segesvár, ev. gymn.",1
ermk5315,RMNY,41,,,0,,0
ermk5317,RMNY,42,,Budapest Acad 1 1 – Budapest Nat 1 – Budapest Univ 1 2 – London BM 2* – München Nat 1 – Paris Nat O,8,,0
ermk5318,RMNY,43,,"Budapest Nat phot. (Braşov, Sibiu) – Braşov Ev 1 1 – Leningrad Nat 1 – Sibiu Mus 1",4,,0
ermk5319,RMNY,44,,"Braşov Ev 1 – Budapest Nat phot. (Braşov, Tîrgu Mureş) – Kraków Univ 1 – Tîrgu Mureş 1",3,,0
ermk5320,RMNY,45,,Budapest Nat phot. – Sighişoara 1,1,,0
ermk5321,RMNY,46,,Braşov Ev 1 – Budapest Nat phot. (Braşov) – Iaşi Civ 2*,2,"Brassó, ev. gimn. (expl. 2.) – Segesvár, ev. gymn.",3
ermk5322,RMNY,47,,,0,,0
ermk5323,RMNY,48,,,0,,0
,RMNY,49,,Alba Iulia 2 – Budapest Acad 2 (A-var.) 3 (A-var.) 4 – Budapest Nat 2 (A var.) 2 (B-var.) – Budapest Univ 3 – Cluj Acad III 2 3 (B-var.) 4 4 – Cluj Univ 2 4 – Debrecen Ref 3 – Gyöngyös 2 (В-var.) – Kecskemét Ref 2 (B-var.) – Keszthely 2 (B-var.) – Prešov Scient 2 (B-var.) – Sárospatak Ref 2 – Szarvas Gymn О (B-var.) – Wien Nat 1 (B-var.) – Zagreb Univ 2,22,"Budapest, Nagy István",1
,RMNY,50,,Braşov Ev 1 1 – Budapest Nat 2* – Sibiu Civ 3* – Sibiu Mus 2 – Sighişoara 1 – Wien Nat 1 – Zwickau 1,8,"Máramarossziget, Szilágyi István",1
ermk5331,RMNY,51,,Budapest Nat phot. (Iaşi) – Iaşi Civ 1,1,"Segesvár, ev. gymn.",1
