01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
1,,"Eichstätt=1, Wien=1",Salzburg
2,,"Budapest=2, Kraków=1, Leipzig=1, Leningrad=1, Paris=1, Praha=1, Princeton=1, Roma=1, Wien=1",Braunsberg
3,,"Berlin=1, Budapest=2, Gyöngyös=1, Martin=1",
4,,,
5,,Budapest=1,
6,,Bratislava=1,
6,A,"Marosvásárhely,=1",
6,C,"Marosvásárhely,=1",
6,B,"Marosvásárhely,=1",
6,D,Uppsala=1,
7,,Gdańsk=1,
8,,"Bucureşti=1, Gdańsk=1, Kraków=1",Szentpétervár
9,,,
10,,,
11,,Budapest=1,Vilnius
12,,"Budapest=1, Kraków=3",
13,,"Bratislava=1, Budapest=6, Cluj=1, London=1, Sárospatak=1, Wien=1",
14,,"Budapest=1, Kraków=1, Schwaz=1, Sibiu=1",
15,,"Aiud=1, Budapest=2, London=1",
16,,"Bratislava=1, Budapest=5, Cluj=2, Debrecen=1, Pécs=1, Wien=1, Wrocław=1","Sepsiszentgyörgy, Szatmár, Szeged, Budapest"
17,,"Budapest=2, Wien=1",Lengyel
18,,"Kraków=1, Praha=1",Budapest
19,,,
20,,,Csíksomlyó
21,,"Bratislava=1, Budapest=3, Cluj=1, Kalocsa=1, Zagreb=1",
22,,,
23,,,Kecskemét
24,,Kraków=1,
25,,,Kecskemét
26,,,
27,,,
28,,Braşov=1,Segesvár
29,,"Alba Iulia=1, Braşov=5, Budapest=5, Cluj=1, Sibiu=2, Tîrgu Mureş=1",
30,,"Alba Iulia=1, Braşov=3, Budapest=5, Cluj=1, Sibiu=1, Tîrgu Mureş=1",Szeben
31,,"Braşov=1, Budapest=1, Mediaş=1",
32,,,
33,,,
34,,Braşov=2,
35,,"Braşov=4, Budapest=4, Cluj=1, Sibiu=1, Tîrgu Mureş=2",
36,,"Budapest=1, Sibiu=1",Segesvár
37,,"Braşov=2, Budapest=2, Mediaş=1",
38,,"Budapest=1, Mediaş=1",
39,,Budapest=1,
40,,Braşov=1,Segesvár
41,,,
42,,"Budapest=5, London=1, München=1, Paris=1",
43,,"Braşov=2, Leningrad=1, Sibiu=1",
44,,"Braşov=1, Kraków=1, Tîrgu Mureş=1",
45,,Sighişoara=1,
46,,"Braşov=1, Iaşi=1","Brassó, Segesvár"
47,,,
48,,,
49,,"Alba Iulia=1, Budapest=6, Cluj=6, Debrecen=1, Gyöngyös=1, Kecskemét=1, Keszthely=1, Prešov=1, Sárospatak=1, Szarvas=1, Wien=1, Zagreb=1",Budapest
50,,"Braşov=2, Budapest=1, Sibiu=2, Sighişoara=1, Wien=1, Zwickau=1",Máramarossziget
51,,Iaşi=1,Segesvár
52,,"Sibiu=1, Sighişoara=1, Tîrgu Mureş=1",
53,,Braşov=1,
54,,"Braşov=2, Bucureşti=1, Budapest=3, Dolný Kubín=1, Mediaş=1, Sibiu=4, Tîrgu Mureş=1",
55,,"Budapest=1, Dolný Kubín=1",
56,,,
57,,,Kraków
58,,,
59,,,
60,,"Braşov=1, Budapest=1, Sibiu=1, Tîrgu Mureş=1",
61,,,
62,,,Segesvár
63,,"Budapest=1, Cluj=1",
64,,"Budapest=1, Debrecen=1",
65,,,
66,,"Leningrad=1, Užgorod=1",
67,,"Braşov=2, Budapest=2, Sibiu=5",
68,,"Alba Iulia=1, Braşov=1, Budapest=2, Sibiu=5",
69,,"Braşov=2, Budapest=2, Sibiu=2, Sighişoara=1, Tîrgu Mureş=2, Wolfenbüttel=1",
70,,,
71,,Braşov=1,
72,,"Braşov=1, Sibiu=1",
73,,,
74,,"Budapest=4, Cluj=2, Kraków=1, Sárospatak=1, Sibiu=1",Budapest
75,,,
76,,,Kismarton
77,,Budapest=1,
78,,"Budapest=1, Cluj=1",
79,,Budapest=1,
80,,Budapest=1,
81,,,
82,,Sibiu=2,Kismarton
83,Vacat!,,
84,,"Kalocsa=1, Sighişoara=1",
85,,,
86,,Cluj=1,
87,,"Régi=1, Budapest=6, Sibiu=1, Wien=1","Budapest, Esztergom, Kismarton"
88,,Budapest=1,
89,,"Braşov=1, London=1, Tîrgu Mureş=2",
90,,"Alba Iulia=1, Banská Štiavnica=1, Budapest=7, Cluj=4, Debrecen=2, Graz=1, Kezmarok=1, Szeged=1, Wolfenbüttel=1",Marosvásárhely
91,,"Cluj=1, Pannonhalma=1",
92,,"Bratislava=1, Budapest=6, Cluj=1, Debrecen=1, København=1, Košice=1","Budapest, Budapest, Szatmárnémeti"
93,,,
94,,,
95,,"Alba Iulia=1, Budapest=7, Cluj=6, Debrecen=1, Gyöngyös=2, Miskolc=1, Nitra=1, Oponice=1",Rimaszombat
96,,"Bratislava=2, Budapest=7, Cluj=1, Debrecen=1, København=1, Košice=1","Budapest, Szatmárnémeti"
97,,Budapest=1,
98,,"Alba Iulia=1, Cluj=1, Stuttgart=1",Tibolddaróc
99,,Wien=1,
100,,"Budapest=1, Cluj=1",Lőcse
101,,Cluj=1,
102,,"Bratislava=1, Budapest=3","Budapest, Lőcse"
103,,Budapest=2,Budapest
104,,"Braşov=1, Budapest=1, Debrecen=1",
