id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5247,RMNY,1,,"Eichstätt=1, Wien=1",Salzburg
ermk5248,RMNY,2,,"Budapest=2, Kraków=1, Leipzig=1, Leningrad=1, Paris=1, Praha=1, Princeton=1, Roma=1, Wien=1",Braunsberg
ermk5250,RMNY,3,,"Berlin=1, Budapest=2, Gyöngyös=1, Martin=1",
ermk5251,RMNY,4,,,
ermk5252,RMNY,5,,Budapest=1,
ermk5253,RMNY,6,,Bratislava=1,
,RMNY,6,A,"Marosvásárhely,=1",
,RMNY,6,C,"Marosvásárhely,=1",
,RMNY,6,B,"Marosvásárhely,=1",
,RMNY,6,D,Uppsala=1,
ermk5263,RMNY,7,,Gdańsk=1,
ermk5264,RMNY,8,,"Bucureşti=1, Gdańsk=1, Kraków=1",Szentpétervár
ermk5266,RMNY,9,,,
ermk5268,RMNY,10,,,
ermk5269,RMNY,11,,Budapest=1,Vilnius
ermk5272,RMNY,12,,"Budapest=1, Kraków=3",
ermk5275,RMNY,13,,"Bratislava=1, Budapest=6, Cluj=1, London=1, Sárospatak=1, Wien=1",
ermk5276,RMNY,14,,"Budapest=1, Kraków=1, Schwaz=1, Sibiu=1",
ermk5282,RMNY,15,,"Aiud=1, Budapest=2, London=1",
ermk5284,RMNY,16,,"Bratislava=1, Budapest=5, Cluj=2, Debrecen=1, Pécs=1, Wien=1, Wrocław=1","Sepsiszentgyörgy, Szatmár, Szeged, Budapest"
ermk5285,RMNY,17,,"Budapest=2, Wien=1",Lengyel
,RMNY,18,,"Kraków=1, Praha=1",Budapest
ermk5287,RMNY,19,,,
ermk5288,RMNY,20,,,Csíksomlyó
ermk5289,RMNY,21,,"Bratislava=1, Budapest=3, Cluj=1, Kalocsa=1, Zagreb=1",
ermk5290,RMNY,22,,,
ermk5291,RMNY,23,,,Kecskemét
ermk5293,RMNY,24,,Kraków=1,
ermk5294,RMNY,25,,,Kecskemét
ermk5295,RMNY,26,,,
ermk5296,RMNY,27,,,
ermk5298,RMNY,28,,Braşov=1,Segesvár
ermk5299,RMNY,29,,"Alba Iulia=1, Braşov=5, Budapest=5, Cluj=1, Sibiu=2, Tîrgu Mureş=1",
ermk5300,RMNY,30,,"Alba Iulia=1, Braşov=3, Budapest=5, Cluj=1, Sibiu=1, Tîrgu Mureş=1",Szeben
