01Sorszám,01Sorszám_RMNY,01Sorszám_RMNY-S,externalData,hypothetic,appendix,03Cím,01xIdö,01xHely,06xNyomda,06Nyomda,07Kolláció,08Terjedelem,09Formátum,10Könyvdísz,11Forrás,12Tárgy,14Facsimile,16Nyelv,13Lelöhely,13Lelöhely_count,cities,15Olim,15Olim_count,olimCities,08xTerjedelem,09xFormátum2,oldal_per_iv,ivszam
2626,2626,,,,,"KALENDARIOM Kristus urunk születése után az MDLVII., melly az bissextilis esztendõ utám[!] elsõ 365. napi, mellyet rendelt nagy szorgalmatosságal az béchi meridianumra Treteri Kasimir Mátyás, philosophianakesl[!] mathematikának doctora, mostanságh az nemes lengyel krakkai akadémiában azon máthematikának tanito mesteré, etc. Német, Magyar és ezek szomszédságában lévõ országok szolgálatijára, az magyor krónika és sokadalmalkal[!] eggyüt. - [2] (Prognosticon az az iöuendö dolgoknak ielensége, auagy nagy praktika Kristus urunk születése után való MDCLVII. esztendõre... Nagy szorgalmatossággal á Napnak, Holdnak, planétáknak forgásokrul és fogyatkozásokrul, á földi vetemények és gyümölchökrül, az emberek közöt-valo jövendõ betegségekrõl és hadakról rendeltetet, Magyar, Német és ezek szomszédságában lévõ országok szolgálattyára Püchler Vid, altenburgi matematicus, czaszar ûrünk eö folsége, és [!] apostali fö-notariusa által.) Béchben [1656] Kürner Jakab János, [sen.] Alsó Austria könyw-nyomtatoja.",1656,Bécs,"Kürner, Johann Jákob, sen.",,[A]8 B8 C8 D4,[28] fol.,8°,"3 ins., orn., init., color.",RMK I 919,Új-naptár és prognosztikon.,,magyar,Budapest Nat 1 (A-variáns) 1 1 (Csornai convent.) (B-variáns),3,Budapest=3,,0,,56,8,16,3.5
2627,2627,,,,,"ALBRICH, Martin: Dicta Sacrae Scripturae, maximam partem cardinalia et stringentia, una cum defi nitionibus locorum theologicorum principalioribus B. Conradi Dieterici aliorumque quorundam theologorum ad locos XXIX. in usum juventutis scholasticae Coronensis methodice redacta. Coronae [1656] typis Michaelis Herrmanni.",1656,Brassó,"Herrmann, Michael",,A4 B8-G8 H7,[8] + 110 pag.,8°,"Orn., init.",RMK II 844,Bibliai helyek tematikus gyûjteménye.,,latin,Brasov Arch 1 2* 2* - Brasov Ev 1 1 - Budapest Nat 1 - Sibiu Mus 1 - Sighisoara 1,8,"Brasov=5, Budapest=1, Sibiu=1, Sighisoara=1",,0,,118,8,16,7.375
2628,2628,,,,,"ALBRICH, Martin: Disputatio II. de ente ejusq(ue) distinctionibus nominalibus, quam ... proponit in ... gymn. Coronensi praeside m. Martino Albrichio, ... rectore respondens Petrus Fannenschmiedius Coronensis ad diem (27) Octobr. horis matutinis. Coronae 1656 prelo Herrmanniano.",1656,Brassó,"Herrmann, Michael",,"[ ]1, B4 C4 D1",[1] + 9-26. pag.,4°,,,Filozófiai vizsgatételek.,,,Brasov Arch 3* - Brasov Ev 3* - Budapest Nat 1 - Sibiu Mus 1 1 - Sighisoara 3 3*,7,"Brasov=2, Budapest=1, Sibiu=2, Sighisoara=2",,0,,18,4,8,2.25
2629,2629,,,,,"ALBRICH, Martin: Dispvtatio III. de principio entis, affectionvmqve essentia, quam ... proponit in ... gymn. Coronensi praeside m. Martino Albrichio, p. t. scholae ejusdem rectore respondens Georgius Kapesius Szenavereschensis, anno MDCLVI. ad diem (...) Novemb. horis matutinis. Coronae (MDCLVI) Stanno Michaelis Herrmanni.",1656,Brassó,"Herrmann, Michael",,"[ ]2, D2-4 E1-3",[3] + 27-38. pag.,4°,,,Filozófiai vizsgatételek.,,,Brasov Arch 3* - Brasov Ev 3* - Budapest Nat 1 - Sibiu Mus 1 1 - Sighisoara 3 3*,7,"Brasov=2, Budapest=1, Sibiu=2, Sighisoara=2",,0,,14,4,8,1.75
2630,2630,,,,,"ALBRICH, Martin: Theses miscellaneae, quas in ... Coronensium gymnasio praeside m. Martino Albrichio, gymnasii ejusdem rectore publice defendendas suscipit Jacobus Gotterbarmet Mediensis, scholae ejusdem alumnus, die (...) Septembris horis matutinis. Coronae [1656] charactere Herrmanniano.",1656,Brassó,"Herrmann, Michael",,[ ]2,[2] fol.,4°,Orn.,RMK II 845,Filozófiai vizsgatételek.,,,Brasov Ev 1 - Budapest Nat 1,2,"Brasov=1, Budapest=1",,0,,4,4,8,0.5
2631,2631,,,1,,<Kalender und Prognosticon auf das Jahr 1657. Kronstadt 1656 Herrmann. - 16°>,1656,Brassó,"Herrmann, Michael",,,,,,,,,német,,0,,,0,,,,,
2632,2632,,,,,"LUTHER, Martin: Catechesis minor d. Martini Lutheri Germanice et Latine. Coronae MDCLVI typis et sumptibus Michaelis Herrmanni.",1656,Brassó,"Herrmann, Michael",,A8-C8 D4,[28] fol.,8°,,RMK II 846,Evangélikus katekizmus német és latin nyelven.,,latin; német,Brasov Arch 1 (Brassai ev. gymn.) - Budapest Nat cop.,1,Brasov=1,Egyetem (= Budapest Univ),1,Budapest,56,8,16,3.5
2633,2633,,1,,,"»THRENI Lvgvbres, Quibus Obitum praematurum, beatum tamen Viri Reverendi Praestantissimi D. Ioannis Sommeri, Purimontani, Qui cum annuum integrum et ultra gravissime decubuisset, et omnibus viribus exhaustus esset, pie in invocatione Filii Dei ex hac miseriarum valle, beneplacito supremi numinis, evocatus, in pátriám Coelestem magnó cum desiderio videndi Deum, alacritate vera Christiana, migravit, Anno aetatis XXXII. functus officiis Coronae, Lectoratus annis fere duobus, Rectoratus duobus et dimidio, Diaconatus unó et dimidio. Anno MDCLVI. ipso die exequiarum qui fuit 2. Augusti Mensis dedeverunt. Coronae (MDCLVI) Prelo Michaelis Hermanni Judicis Coronensis.«",1656,Brassó,"Herrmann, Michael",,,,,,,,,latin,,0,,,0,,,,,
2634,2634,,,,,"VOTA viro plurimum reverendo ... Petro Medero, poetae laureato caesareo et p. t. ecclesiae Coronensis pastori ... ad secunda vota transeunti, sponso, nec non ... Margarethae Forgatschianae relictae viduae ... Christophori Greissing, senatoris quondam reipubl. Coronensis ... sponsae ipso die nuptiarum, qui est 28. Novembris anno MDCLVI ... oblata a ... [Coronae 1656 Herrmann].",1656,Brassó,"Herrmann, Michael",,,[1] fol.,785 x 350 mm,,Gross: Kronstädter 1142,Lakodalmi versek,,latin,Brasov Ev 1 - Budapest Nat cop.,1,Brasov=1,,0,,2,1,1,2
2635,2635,,,,,"HORVÁTH András: Dispvtatio adversus pontificios de Scriptvrae Sacrae Veteris Testamenti canone, qvam ... svb praesidio Andreae Horvat, rectoris Eperiensis defendere annitetur Andreas Braxatoris Roseberga Liptovien. die (...) Decemb. anno 1656. Eperesini[!] (1656) Thomas Scholtz.",1656,Eperjes,"Scholtz, Thomas",,A4-D4 E2,[18] fol.,4°,,RMK II 848 - Caplovic 1691,Evangélikus teológiai vizsgatétel,,,Budapest Acad 1 1 - Budapest Nat 1,3,Budapest=3,,0,,36,4,8,4.5
