RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
13,Kraków,1533,Nádasdy Ferenc,Pottendorf,1669,KKK,8,555,,,,,,,,,,,,
13,Kraków,1533,Bethlen-kollégium,Nagyenyed,1762,KKK,10,230,,,,,,,,,,,,
15,Kraków,1535,Rákóczi-család,Sárospatak,1660,KKK,1,162,,,,,,,,,,,,
16,Wien,1536,Bethlen-kollégium,Nagyenyed,1762,KKK,10,271,,,,,,,,,,,,
16,Wien,1536,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
16,Wien,1536,Jezsuita rendház,Pozsony,1663,Adattár,17/1,210,,,,,,,,,,,,
17,Wien,1536,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
21,Wien,1538,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
25,Kraków,1538,Bethlen-kollégium,Nagyenyed,1762,KKK,10,318,,,,,,,,,,,,
49,Sárvár,1541,Batthyány Ádám,Németújvár,1654,KKK,4,252,,,,,,,,,,,,
49,Sárvár,1541,"Dernschwam, Johann",Wien,1575,Adattár,12/1,161,,,,,,,,,,,,
50,Brassó,1542,"Dernschwam, Johann",Wien,1575,Adattár,12/1,177,,,,,,,,,,,,
58,Kraków,1544,Bethlen-kollégium,Nagyenyed,1762,KKK,10,241,,,,,,,,,,,,
74,Krakkó,1548,Bethlen-kollégium,Nagyenyed,1762,KKK,10,242,,,,,,,,,,,,
87,Kolozsvár,1550,Mossóczi Zakariás,Nyitra,1587,Adattár,11,474,,,,,,,,,,,,
90,Kolozsvár,1551,Bethlen-kollégium,Nagyenyed,1762,KKK,10,101,,,,,,,,,,,,
90,Kolozsvár,1551,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
90,Kolozsvár,1551,Német Kristóf,Kassa,1606,Adattár,15,10,,,,,,,,,,,,
90,Kolozsvár,1551,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
90,Kolozsvár,1551,Csép Bálint,Kolozsvár,1720,Adattár,16/2,33,,,,,,,,,,,,
95,Kolozsvár,1552,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
95,Kolozsvár,1552,Zsámboky János,Wien,1587,Adattár,12/2,275,,,,,,,,,,,,
98,Kolozsvár,1552,Bethlen Elek,Keresd,1683,Adattár,16/3,20,,,,,,,,,,,,
102,Kolozsvár,1553,Bethlen-kollégium,Nagyenyed,1762,KKK,10,260,,,,,,,,,,,,
102,Kolozsvár,1553,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
109,Kolozsvár,1554,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
109,Kolozsvár,1554,Zsámboky János,Wien,1587,Adattár,12/2,296,,,,,,,,,,,,
154,Kolozsvár,1559,Bethlen-kollégium,Nagyenyed,1762,KKK,10,95,,,,,,,,,,,,
156,Kraków,1559,Rákóczi-család,Sárospatak,1660,KKK,1,149,,,,,,,,,,,,
156,Kraków,1559,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
156,Kraków,1559,Bethlen-kollégium,Nagyenyed,1762,KKK,10,44,,,,,,,,,,,,
156,Kraków,1559,Barkóczy Ferenc,Eger,1765,KKK,11,183,,,,,,,,,,,,
156,Kraków,1559,Radvánszky László,Sajókaza,1750,Adattár,13/5,179,,,,,,,,,,,,
162,Kolozsvár,1560,Bethlen-kollégium,Nagyenyed,1762,KKK,10,204,,,,,,,,,,,,
162,Kolozsvár,1560,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,103,,,,,,,,,,,,
162,Kolozsvár,1560,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
169,Debrecen,1561,Csép Bálint,Kolozsvár,1720,Adattár,16/2,33,,,,,,,,,,,,
171,Debrecen,1561,Zsámboky János,Wien,1587,Adattár,12/2,176,,,,,,,,,,,,
172,Kolozsvár,1561,Bethlen-kollégium,Nagyenyed,1762,KKK,10,92,,,,,,,,,,,,
173,Wien,1562,Mossóczi Zakariás,Nyitra,1587,Adattár,11,459,,,,,,,,,,,,
181,Debrecen,1562,Rákóczi-család,Sárospatak,1660,KKK,1,149,,,,,,,,,,,,
186,Kolozsvár,1562,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
194,Debrecen,1563,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,102,,,,,,,,,,,,
196,Debrecen,1563,Ráday-család,Pécel,1730,KKK,7,165,,,,,,,,,,,,
196,Debrecen,1563,Bethlen-kollégium,Nagyenyed,1762,KKK,10,99,,,,,,,,,,,,
