RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY-C-1,,1,egyedi,eredeti,RMNY1,Eichstätt,Nat,3,*,,,,,,
RMNY-C-2,,2,egyedi,eredeti,RMNY1,Wien,Nat,1,,,,,,,
RMNY-C-3,,3,egyedi,eredeti,RMNY2,Budapest,Nat,1,,,,,,,
RMNY-C-4,,4,egyedi,eredeti,RMNY2,Budapest,Univ,1,,,,,,,
RMNY-C-5,,5,egyedi,eredeti,RMNY2,Kraków,Czartoryski,1,,,,,,,
RMNY-C-6,,6,egyedi,eredeti,RMNY2,Leipzig,Univ,1,,,,,,,
RMNY-C-7,,7,egyedi,eredeti,RMNY2,Leningrad,Nat,1,,,,,,,
RMNY-C-8,,8,egyedi,eredeti,RMNY2,Paris,Nat,1,,,,,,,
RMNY-C-9,,9,egyedi,eredeti,RMNY2,Praha,Univ,1,,,,,,,
RMNY-C-10,,10,egyedi,eredeti,RMNY2,Princeton,Univ,1,,,,,,,
RMNY-C-11,,11,egyedi,eredeti,RMNY2,Roma,Acad,1,,,,,,,
RMNY-C-12,,12,egyedi,eredeti,RMNY2,Wien,Nat,1,,,,,,,
RMNY-C-13,,13,egyedi,eredeti,RMNY3,Berlin,Nat,1,,(A-var.),,,,,
RMNY-C-14,,14,egyedi,eredeti,RMNY3,Budapest,Univ,1,,(A-var.),,,,,
RMNY-C-15,,15,egyedi,eredeti,RMNY3,Budapest,Univ,2,*,(B-var.),,,,,
RMNY-C-16,,16,egyedi,eredeti,RMNY3,Gyöngyös,,2,,(A-var.),,,,,
RMNY-C-17,,17,egyedi,eredeti,RMNY3,Martin,Nat,1,,,(Diecézna knižnica Nitra?),,,,
RMNY-C-18,,18,,,RMNY4,,,n.p.,,,,,,,
RMNY-C-19,,19,egyedi,eredeti,RMNY5,Budapest,Univ,1,,,,,,,
RMNY-C-20,,20,egyedi,eredeti,RMNY6,Bratislava,Civ,1,,,,,,,
RMNY-C-21,,21,egyedi,eredeti,RMNY6D,Uppsala,Univ,1,,,,,,,
RMNY-C-22,,22,,eredeti,RMNY6A,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY-C-23,,23,,eredeti,RMNY6B,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY-C-24,,24,,eredeti,RMNY6C,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY-C-25,,25,egyedi,eredeti,RMNY7,Gdańsk,Acad,1,,,,,,,
RMNY-C-26,,26,egyedi,eredeti,RMNY8,Bucureşti,Acad,1,,,,,,,
RMNY-C-27,,27,egyedi,eredeti,RMNY8,Gdańsk,Acad,1,,,,,,,
RMNY-C-28,,28,egyedi,eredeti,RMNY8,Kraków,Univ,4,,,,,,,
RMNY-C-29,,29,,,RMNY9,,,n.p.,,,,,,,
RMNY-C-30,,30,,,RMNY10,,,n.p.,,,,,,,
RMNY-C-31,,31,egyedi,eredeti,RMNY11,Budapest,Nat,2,,,,,,,
RMNY-C-32,,32,egyedi,eredeti,RMNY12,Budapest,Nat,4,,,,,,,
RMNY-C-33,,33,egyedi,eredeti,RMNY12,Kraków,Arch,4,,,,,,,
RMNY-C-34,,34,egyedi,eredeti,RMNY12,Kraków,Arch,4,,,,,,,
RMNY-C-35,,35,egyedi,eredeti,RMNY12,Kraków,Arch,4,,,,,,,
RMNY-C-36,,36,egyedi,eredeti,RMNY13,Bratislava,Acad,2,,,,,,,
