RMNYStat-ID,RMNY-BibliográfiaiHalmaz,RMNY-sorszám,RMNY-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,RMNY,83,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,RMNY,116,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,RMNY,179,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,RMNY,180,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,RMNY,267,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,RMNY,330,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,RMNY,332,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,RMNY,601,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,RMNY,757,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,RMNY,955,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,RMNY,1007,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,RMNY,1026,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,RMNY,1103,Vacat,,,x,,,,Bécs?,Bécs,https://www.geonames.org/2761369/vienna.html,1616,1616,1610-1619,,KOPCSÁNYI Márton,Keresztyén imádságos könyvecske.,Matthäus Formica?,"Formica nyomda, Bécs",,,,,,,,,,,,,RMK I 471,Katolikus imádságoskönyv,,magyar,,0,,,0,,G
1167,RMNY,1167,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,RMNY,1200,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,RMNY,1217,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,RMNY,1218,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,RMNY,1240,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,RMNY,1320,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,RMNY,1373,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,RMNY,1903,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,RMNY,2321,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,RMNY,2427,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,RMNY,2428,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,RMNY,2585,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,RMNY,2602,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,RMNY,2603,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,RMNY,2901,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,RMNY,2971,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,RMNY,3018,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142,RMNY,3142,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3253,RMNY,3253,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3335,RMNY,3335,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3620,RMNY,3620,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3693,RMNY,3693,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722,RMNY,3722,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3884,RMNY,3884,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910,RMNY,3910,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4559,RMNY,4559,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4577,RMNY,4577,Vacat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 172,Appendix,172,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 18,Appendix,18,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 210,Appendix,210,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix 97,Appendix,97,Vacat!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
