RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
,,,egyedi,eredeti,RMNY1,Eichstätt,Nat,3,*,,,,,,
,,,egyedi,eredeti,RMNY1,Wien,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Kraków,Czartoryski,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Leipzig,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Leningrad,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Paris,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Praha,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Princeton,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Roma,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY2,Wien,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY3,Berlin,Nat,1,,(A-var.),,,,,
,,,egyedi,eredeti,RMNY3,Budapest,Univ,1,,(A-var.),,,,,
,,,egyedi,eredeti,RMNY3,Budapest,Univ,2,*,(B-var.),,,,,
,,,egyedi,eredeti,RMNY3,Gyöngyös,,2,,(A-var.),,,,,
,,,egyedi,eredeti,RMNY3,Martin,Nat,1,,,(Diecézna knižnica Nitra?),,,,
,,,,,RMNY4,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY5,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY6,Bratislava,Civ,1,,,,,,,
,,,egyedi,eredeti,RMNY6D,Uppsala,Univ,1,,,,,,,
,,,,eredeti,RMNY6A,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
,,,,eredeti,RMNY6B,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
,,,,eredeti,RMNY6C,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
,,,egyedi,eredeti,RMNY7,Gdańsk,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY8,Bucureşti,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY8,Gdańsk,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY8,Kraków,Univ,4,,,,,,,
,,,,,RMNY9,,,n.p.,,,,,,,
,,,,,RMNY10,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY11,Budapest,Nat,2,,,,,,,
,,,egyedi,eredeti,RMNY12,Budapest,Nat,4,,,,,,,"... próbanyomat Szent Pál leveleiből. — E nyomtatványból csak az ,,A” ív hat levele ismert."
,,,egyedi,eredeti,RMNY12,Kraków,Arch,4,,,,,,,"... próbanyomat Szent Pál leveleiből. — E nyomtatványból csak az ,,A” ív hat levele ismert."
