format,count
4°,12
4°,4
8°,1
8°,1
8°,2
egyéb,2
egyéb,4
egyéb,4
egyéb,1
egyéb,1
8°,7
egyéb,2
4°,2
4°,1
4°,1
4°,1
8°,8
4°,7
4°,7
4°,2
egyéb,7
4°,7
4°,8
4°,8
4°,7
4°,9
4°,8
4°,8
4°,8
4°,7
egyéb,7
4°,1
8°,1
4°,2
4°,2
2°,1
8°,13
4°,1
1°,1
1°,1
1°,1
4°,1
egyéb,1
8°,3
8°,4
8°,2
8°,6
8°,10
8°,1
egyéb,3
egyéb,1
4°,1
8°,2
8°,2
2°,26
8°,4
8°,1
8°,1
8°,2
8°,23
egyéb,2
egyéb,1
8°,1
8°,1
8°,1
8°,1
8°,1
8°,1
8°,1
8°,1
8°,2
8°,1
8°,1
8°,1
8°,1
8°,19
4°,2
4°,1
4°,1
4°,1
4°,3
4°,3
4°,13
4°,17
4°,1
8°,5
egyéb,34
egyéb,30
8°,2
egyéb,3
4°,3
egyéb,3
2°,5
4°,3
4°,1
8°,1
4°,62
4°,4
4°,6
8°,1
8°,4
8°,3
4°,2
4°,3
egyéb,2
4°,1
4°,5
8°,15
8°,12
egyéb,10
4°,2
egyéb,1
4°,1
4°,25
8°,6
egyéb,3
egyéb,2
egyéb,1
8°,1
egyéb,2
egyéb,1
egyéb,1
egyéb,1
egyéb,1
egyéb,1
egyéb,1
egyéb,5
egyéb,2
egyéb,1
egyéb,1
egyéb,1
egyéb,3
egyéb,1
egyéb,1
4°,2
4°,2
8°,4
4°,42
8°,6
egyéb,14
8°,13
egyéb,8
4°,4
8°,11
8°,1
8°,4
4°,4
4°,2
4°,1
4°,2
4°,1
4°,6
4°,2
8°,1
8°,3
8°,18
8°,18
8°,23
8°,1
4°,2
4°,1
4°,1
egyéb,2
8°,25
8°,1
8°,16
2°,1
egyéb,1
4°,2
2°,5
8°,6
8°,7
egyéb,17
4°,1
8°,3
4°,1
4°,1
4°,1
4°,3
4°,1
4°,1
egyéb,2
egyéb,2
egyéb,7
egyéb,1
egyéb,3
8°,5
egyéb,1
8°,3
4°,1
4°,2
4°,4
egyéb,69
4°,17
4°,3
4°,9
4°,1
8°,1
8°,1
4°,10
4°,10
4°,14
egyéb,1
4°,1
4°,3
4°,3
4°,1
8°,2
4°,2
4°,3
8°,3
8°,2
8°,9
4°,4
8°,9
4°,3
4°,8
4°,9
4°,1
8°,3
8°,1
4°,1
4°,3
8°,1
8°,37
8°,1
8°,3
8°,1
8°,1
8°,2
8°,2
8°,2
4°,2
1°,1
4°,2
4°,2
4°,1
4°,3
4°,3
4°,7
4°,1
4°,3
4°,3
4°,2
8°,1
4°,1
8°,1
4°,3
2°,1
2°,24
4°,1
4°,2
4°,2
4°,17
4°,15
egyéb,17
8°,2
4°,1
4°,6
4°,5
4°,8
4°,1
2°,30
4°,3
8°,3
8°,10
4°,1
8°,1
8°,2
8°,2
8°,2
2°,1
4°,3
4°,1
8°,6
8°,7
8°,21
8°,8
8°,1
egyéb,6
egyéb,5
8°,1
4°,1
4°,1
2°,1
8°,2
8°,1
egyéb,1
8°,1
egyéb,3
8°,8
8°,6
8°,3
8°,3
4°,7
egyéb,1
4°,1
8°,1
2°,1
4°,5
4°,2
4°,1
8°,1
8°,1
8°,3
4°,6
4°,4
8°,1
8°,2
8°,1
8°,2
8°,1
8°,1
8°,2
8°,1
8°,1
8°,1
8°,1
8°,4
8°,1
8°,1
8°,3
1°,2
2°,1
egyéb,2
2°,11
8°,7
8°,3
8°,3
8°,6
8°,2
8°,1
4°,11
8°,6
8°,22
8°,14
egyéb,2
4°,8
4°,2
8°,2
4°,3
8°,15
8°,2
8°,4
8°,3
8°,4
8°,2
8°,2
8°,2
8°,1
8°,1
8°,2
8°,6
8°,1
8°,1
8°,2
egyéb,40
8°,17
8°,1
8°,9
8°,4
8°,2
8°,3
8°,3
8°,9
8°,5
8°,2
4°,4
4°,4
4°,1
2°,1
4°,2
4°,1
4°,2
2°,1
4°,2
4°,2
4°,2
8°,18
8°,5
8°,25
8°,45
4°,8
4°,4
8°,44
8°,7
8°,2
4°,1
8°,7
4°,1
8°,13
4°,37
4°,47
4°,19
4°,1
4°,4
4°,2
4°,1
8°,1
8°,5
8°,3
4°,1
