nyelv,count
latin,12
magyar,4
német,1
magyar,2
magyar,4
magyar,4
magyar,1
magyar,1
magyar,7
magyar,2
latin,2
latin,1
német,1
német,1
latin,8
német,7
latin,2
latin,2
latin,13
latin,1
latin,1
latin,1
latin,1
magyar,1
latin,1
latin,3
latin,4
latin,2
latin,6
latin,1
latin,1
latin,1
latin,2
latin,26
latin,4
latin,2
latin,23
latin,1
latin,1
latin,1
latin,1
magyar,19
latin,1
latin,1
magyar,1
magyar,3
magyar,3
magyar,13
magyar,17
magyar,1
latin,5
latin,34
latin,30
latin,2
latin,3
latin,3
latin,3
latin,5
latin,3
magyar,1
magyar,62
latin,4
latin,6
latin,4
latin,2
latin,2
latin,1
latin,15
latin,12
magyar,10
magyar,25
latin,6
latin,3
latin,2
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,5
magyar,2
magyar,1
magyar,1
magyar,1
magyar,3
magyar,1
magyar,1
magyar,2
latin,4
latin,42
magyar,6
magyar,13
latin,8
német,4
magyar,11
latin,1
latin,4
magyar,4
magyar,2
latin,1
latin,2
latin,1
latin,6
latin,2
latin,1
magyar,3
magyar,18
magyar,18
magyar,23
magyar,1
magyar,2
magyar,1
magyar,1
magyar,2
latin,25
latin,1
német,1
latin,2
latin,5
latin,1
magyar,3
latin,1
latin,3
latin,1
latin,1
magyar,2
magyar,2
magyar,7
magyar,1
magyar,3
latin,5
latin,3
magyar,1
latin,2
latin,4
latin,17
latin,3
magyar,9
latin,1
magyar,1
magyar,1
magyar,10
magyar,10
magyar,14
latin,1
latin,1
latin,3
latin,3
latin,1
magyar,2
latin,3
latin,3
latin,2
latin,9
latin,4
latin,9
latin,3
latin,8
latin,9
latin,1
latin,3
latin,1
latin,1
latin,3
latin,1
latin,37
német,1
latin,3
latin,1
latin,1
latin,2
latin,2
latin,2
latin,1
latin,2
latin,2
magyar,1
magyar,3
magyar,3
magyar,7
magyar,1
magyar,3
magyar,3
magyar,2
magyar,1
magyar,1
német,1
latin,3
latin,24
latin,1
magyar,2
magyar,2
magyar,17
magyar,15
magyar,17
magyar,2
magyar,1
magyar,6
magyar,5
magyar,8
magyar,1
magyar,30
magyar,10
latin,1
latin,2
latin,2
latin,2
latin,1
latin,3
latin,1
latin,6
latin,7
latin,21
latin,8
latin,1
latin,6
latin,5
latin,1
latin,1
latin,1
latin,1
magyar,1
latin,1
latin,8
latin,6
latin,3
latin,3
latin,7
latin,1
latin,1
német,3
latin,6
latin,4
latin,1
latin,2
latin,1
latin,2
latin,1
latin,1
latin,2
latin,1
latin,1
latin,1
latin,1
latin,4
latin,1
latin,1
latin,3
latin,2
latin,1
latin,11
latin,11
latin,14
latin,2
latin,8
latin,2
latin,2
latin,3
latin,1
német,4
német,4
német,1
latin,1
latin,2
latin,2
latin,2
latin,2
magyar,2
magyar,18
magyar,5
magyar,25
magyar,45
magyar,8
magyar,4
magyar,44
magyar,7
magyar,2
magyar,1
magyar,7
magyar,1
magyar,13
magyar,37
magyar,47
magyar,1
latin,1
latin,3
magyar,1
magyar,5
magyar,2
magyar,1
magyar,1
magyar,6
latin,1
latin,2
magyar,5
magyar,1
magyar,1
magyar,1
latin,5
latin,9
magyar,7
magyar,21
latin,3
latin,1
magyar,2
latin,2
latin,2
latin,1
latin,1
latin,2
latin,7
magyar,4
magyar,4
latin,19
latin,2
latin,11
latin,4
magyar,4
magyar,10
latin,6
magyar,5
magyar,11
latin,1
latin,7
latin,12
latin,13
magyar,6
magyar,4
magyar,7
magyar,1
magyar,3
magyar,6
magyar,2
magyar,3
magyar,2
magyar,15
magyar,1
magyar,1
magyar,10
magyar,2
latin,2
magyar,2
magyar,2
magyar,3
latin,3
latin,13
latin,1
latin,1
magyar,2
magyar,1
magyar,4
magyar,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
magyar,9
magyar,22
magyar,24
magyar,1
magyar,1
latin,6
latin,12
latin,1
latin,6
latin,7
latin,1
latin,11
latin,1
latin,3
latin,1
latin,3
latin,2
latin,9
latin,1
magyar,18
magyar,14
magyar,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,2
latin,1
német,1
magyar,13
magyar,58
magyar,2
magyar,10
magyar,23
magyar,13
magyar,31
latin,1
latin,1
latin,2
latin,5
latin,1
latin,1
latin,1
latin,1
latin,1
latin,2
latin,2
német,1
latin,4
latin,15
latin,1
magyar,15
magyar,1
magyar,1
magyar,1
magyar,44
magyar,26
magyar,27
magyar,1
magyar,1
magyar,1
magyar,3
latin,14
magyar,2
latin,1
magyar,1
latin,11
magyar,1
latin,2
latin,1
latin,2
latin,5
magyar,16
magyar,15
latin,1
magyar,8
latin,9
latin,1
magyar,3
latin,5
latin,6
latin,4
latin,9
latin,12
latin,12
latin,2
latin,2
latin,5
latin,1
magyar,4
magyar,9
magyar,17
magyar,19
magyar,17
magyar,4
magyar,8
magyar,14
latin,39
német,1
német,1
német,4
latin,1
magyar,1
magyar,2
latin,1
magyar,2
latin,4
latin,1
latin,2
német,37
latin,35
német,17
latin,1
latin,1
latin,1
német,1
magyar,1
latin,1
latin,1
latin,39
latin,1
magyar,1
német,7
latin,2
latin,1
latin,12
latin,1
magyar,1
latin,3
magyar,3
latin,1
latin,2
latin,4
latin,1
német,1
latin,1
latin,3
latin,2
latin,1
latin,4
latin,38
latin,38
magyar,42
magyar,34
magyar,43
latin,9
magyar,35
latin,3
latin,1
német,1
magyar,1
magyar,1
magyar,1
magyar,1
német,2
latin,1
német,1
latin,1
latin,50
német,1
német,1
német,1
magyar,3
latin,1
latin,1
latin,5
latin,1
latin,5
latin,11
latin,13
latin,12
magyar,1
magyar,3
magyar,6
magyar,2
német,2
latin,1
latin,6
latin,3
latin,7
latin,4
latin,3
latin,2
latin,1
latin,1
latin,5
német,2
latin,9
latin,3
latin,4
német,1
német,1
német,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,2
magyar,13
magyar,1
magyar,1
magyar,3
magyar,2
latin,29
latin,1
latin,1
magyar,3
latin,1
magyar,4
magyar,3
magyar,8
latin,3
latin,2
latin,3
latin,1
latin,7
magyar,14
magyar,2
magyar,1
magyar,18
latin,1
magyar,30
latin,3
latin,1
latin,4
latin,1
magyar,5
latin,13
német,1
latin,3
latin,3
magyar,9
magyar,9
magyar,3
