RMNYStat-ID,RMNY-BibliográfiaiHalmaz,RMNY-Sorszám,RMNY-Jel,Hely,Év,RMNYStat-C-Tulajdonos,RMNYStat-C-Őrzőhely,RMNYStat-C-Időpont,RMNYStat-Forrás,Forrás-Kötet,RMNYStat-Forrás-Oldalszám,RMNYStat-Forrás-Tételszám,RMNYStat-C-Megjegyzés,,,,,,,,,,
RMNY13,RMNY,13,,Kraków,1533,Nádasdy Ferenc,Pottendorf,1669,KKK,8,555,,,,,,,,,,,,
RMNY13,RMNY,13,,Kraków,1533,Bethlen-kollégium,Nagyenyed,1762,KKK,10,230,,,,,,,,,,,,
RMNY15,RMNY,15,,Kraków,1535,Rákóczi-család,Sárospatak,1660,KKK,1,162,628,,,,,,,,,,,
RMNY16,RMNY,16,,Wien,1536,Bethlen-kollégium,Nagyenyed,1762,KKK,10,271,,,,,,,,,,,,
RMNY16,RMNY,16,,Wien,1536,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
RMNY16,RMNY,16,,Wien,1536,Jezsuita rendház,Pozsony,1663,Adattár,17/1,210,,,,,,,,,,,,
RMNY17,RMNY,17,,Wien,1536,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
RMNY21,RMNY,21,,Wien,1538,"Dernschwam, Johann",Wien,1575,Adattár,12/1,179,,,,,,,,,,,,
RMNY25,RMNY,25,,Kraków,1538,Bethlen-kollégium,Nagyenyed,1762,KKK,10,318,,,,,,,,,,,,
RMNY49,RMNY,49,,Sárvár,1541,Batthyány Ádám,Németújvár,1654,KKK,4,252,,,,,,,,,,,,
RMNY49,RMNY,49,,Sárvár,1541,"Dernschwam, Johann",Wien,1575,Adattár,12/1,161,,,,,,,,,,,,
RMNY50,RMNY,50,,Brassó,1542,"Dernschwam, Johann",Wien,1575,Adattár,12/1,177,,,,,,,,,,,,
RMNY58,RMNY,58,,Kraków,1544,Bethlen-kollégium,Nagyenyed,1762,KKK,10,241,,,,,,,,,,,,
RMNY74,RMNY,74,,Krakkó,1548,Bethlen-kollégium,Nagyenyed,1762,KKK,10,242,,,,,,,,,,,,
RMNY87,RMNY,87,,Kolozsvár,1550,Mossóczi Zakariás,Nyitra,1587,Adattár,11,474,,,,,,,,,,,,
RMNY90,RMNY,90,,Kolozsvár,1551,Bethlen-kollégium,Nagyenyed,1762,KKK,10,101,,,,,,,,,,,,
RMNY90,RMNY,90,,Kolozsvár,1551,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
RMNY90,RMNY,90,,Kolozsvár,1551,Német Kristóf,Kassa,1606,Adattár,15,10,,,,,,,,,,,,
RMNY90,RMNY,90,,Kolozsvár,1551,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
RMNY90,RMNY,90,,Kolozsvár,1551,Csép Bálint,Kolozsvár,1720,Adattár,16/2,33,,,,,,,,,,,,
RMNY95,RMNY,95,,Kolozsvár,1552,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY95,RMNY,95,,Kolozsvár,1552,Zsámboky János,Wien,1587,Adattár,12/2,275,,,,,,,,,,,,
RMNY98,RMNY,98,,Kolozsvár,1552,Bethlen Elek,Keresd,1683,Adattár,16/3,20,,,,,,,,,,,,
RMNY102,RMNY,102,,Kolozsvár,1553,Bethlen-kollégium,Nagyenyed,1762,KKK,10,260,,,,,,,,,,,,
RMNY102,RMNY,102,,Kolozsvár,1553,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
RMNY109,RMNY,109,,Kolozsvár,1554,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
RMNY109,RMNY,109,,Kolozsvár,1554,Zsámboky János,Wien,1587,Adattár,12/2,296,,,,,,,,,,,,
RMNY154,RMNY,154,,Kolozsvár,1559,Bethlen-kollégium,Nagyenyed,1762,KKK,10,95,,,,,,,,,,,,
RMNY156,RMNY,156,,Kraków,1559,Rákóczi-család,Sárospatak,1660,KKK,1,149,552,,,,,,,,,,,
RMNY156,RMNY,156,,Kraków,1559,Rákóczi-család,Sárospatak,1660,KKK,1,157,601,,,,,,,,,,,
RMNY156,RMNY,156,,Kraków,1559,Bethlen-kollégium,Nagyenyed,1762,KKK,10,44,,,,,,,,,,,,
RMNY156,RMNY,156,,Kraków,1559,Barkóczy Ferenc,Eger,1765,KKK,11,183,,,,,,,,,,,,
RMNY156,RMNY,156,,Kraków,1559,Radvánszky László,Sajókaza,1750,Adattár,13/5,179,,,,,,,,,,,,
RMNY162,RMNY,162,,Kolozsvár,1560,Bethlen-kollégium,Nagyenyed,1762,KKK,10,204,,,,,,,,,,,,
RMNY162,RMNY,162,,Kolozsvár,1560,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,103,,,,,,,,,,,,
RMNY162,RMNY,162,,Kolozsvár,1560,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
RMNY169,RMNY,169,,Debrecen,1561,Csép Bálint,Kolozsvár,1720,Adattár,16/2,33,,,,,,,,,,,,
RMNY171,RMNY,171,,Debrecen,1561,Zsámboky János,Wien,1587,Adattár,12/2,176,,,,,,,,,,,,
RMNY172,RMNY,172,,Kolozsvár,1561,Bethlen-kollégium,Nagyenyed,1762,KKK,10,92,,,,,,,,,,,,
RMNY173,RMNY,173,,Wien,1562,Mossóczi Zakariás,Nyitra,1587,Adattár,11,459,,,,,,,,,,,,
RMNY181,RMNY,181,,Debrecen,1562,Rákóczi-család,Sárospatak,1660,KKK,1,149,554,,,,,,,,,,,
RMNY186,RMNY,186,,Kolozsvár,1562,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
RMNY194,RMNY,194,,Debrecen,1563,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,102,,,,,,,,,,,,
RMNY196,RMNY,196,,Debrecen,1563,Ráday-család,Pécel,1730,KKK,7,165,,,,,,,,,,,,
RMNY196,RMNY,196,,Debrecen,1563,Bethlen-kollégium,Nagyenyed,1762,KKK,10,99,,,,,,,,,,,,
RMNY196,RMNY,196,,Debrecen,1563,Bethlen-kollégium,Nagyenyed,1762,KKK,10,152,,,,,,,,,,,,
RMNY197,RMNY,197,,Kolozsvár,1563,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY204,RMNY,204,,Debrecen,1565,Batthyány Lajos,Wien,1743,KKK,12,861,,,,,,,,,,,,
RMNY205,RMNY,205,,Debrecen,1565,Györkei Pál,Kassa,1658,Adattár,15,49,,,,,,,,,,,,
RMNY207,RMNY,207,,Debrecen,1565,Batthyány Ádám,Németújvár,1642,KKK,4,153,,,,,,,,,,,,
RMNY207,RMNY,207,,Debrecen,1565,Batthyány Ádám,Németújvár,1644,KKK,4,182,,,,,,,,,,,,
RMNY207,RMNY,207,,Debrecen,1565,Batthyány Ádám,Németújvár,1653,KKK,4,232,,,,,,,,,,,,
RMNY207,RMNY,207,,Debrecen,1565,Batthyány Lajos Ernő,Wien,1743,KKK,12,174,,,,,,,,,,,,
RMNY208,RMNY,208,,Kolozsvár,1565,Bethlen-kollégium,Nagyenyed,1762,KKK,10,102,,,,,,,,,,,,
RMNY208,RMNY,208,,Kolozsvár,1565,Csép Bálint,Kolozsvár,1720,Adattár,16/2,33,,,,,,,,,,,,
RMNY226,RMNY,226,,Debrecen,1567,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY229,RMNY,229,,Debrecen,1653,Ráday-család,Pécel,1730,KKK,7,165,,,,,,,,,,,,
RMNY231,RMNY,231,,Gyulafehérvár,1567,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY232,RMNY,232,,Gyulafehérvár,1567,Dudith András,Wrocław,1589,Adattár,12/3,75,,,,,,,,,,,,
RMNY233,RMNY,233,,Gyulafehérvár,1567,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY243,RMNY,243,,Gyulafehérvár,1568,Bethlen-kollégium,Nagyenyed,1762,KKK,10,127,,,,,,,,,,,,
RMNY247,RMNY,247,,Gyulafehérvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY254,RMNY,254,,Gyulafehérvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY256,RMNY,256,,Kolozsvár,1568,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
RMNY256,RMNY,256,,Kolozsvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY259,RMNY,259,,Nagyvárad,1568,Ráday-család,Pécel,1730,KKK,7,165,,,,,,,,,,,,
RMNY259,RMNY,259,,Nagyvárad,1568,Bethlen-kollégium,Nagyenyed,1762,KKK,10,37,,,,,,,,,,,,
RMNY263,RMNY,263,,Debrecen,1569,Zsámboky János,Wien,1587,Adattár,12/2,285,,,,,,,,,,,,
RMNY266,RMNY,266,,Debrecen,1569,Bethlen-kollégium,Nagyenyed,1762,KKK,10,114,,,,,,,,,,,,
RMNY269,RMNY,269,,Gyulafehérvár,1569,Bethlen-kollégium,Nagyenyed,1762,KKK,10,16,,,,,,,,,,,,
RMNY269,RMNY,269,,Gyulafehérvár,1569,Dudith András,Wrocław,1589,Adattár,12/3,150,,,,,,,,,,,,
RMNY270,RMNY,270,,Gyulafehérvár,1569,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY277,RMNY,277,,Debrecen,1570,Rákóczi-család,Sárospatak,1660,KKK,1,161,623,,,,,,,,,,,
RMNY277,RMNY,277,,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY279,RMNY,279,,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,74,,,,,,,,,,,,
RMNY279,RMNY,279,,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY286,RMNY,286,,Kolozsvár,1570,Bethlen-kollégium,Nagyenyed,1762,KKK,10,96,,,,,,,,,,,,
RMNY288,RMNY,288,,Kolozsvár,1570,Rákóczi-család,Sárospatak,1660,KKK,1,166,655,,,,,,,,,,,
RMNY297,RMNY,297,,Debrecen,1570,Batthyány Ádám,Németújvár,1651,KKK,4,191,,,,,,,,,,,,
RMNY304,RMNY,304,,Kolozsvár,1571,Bethlen-kollégium,Nagyenyed,1762,KKK,10,126,,,,,,,,,,,,
RMNY304,RMNY,304,,Kolozsvár,1571,Dudith András,Wrocław,1589,Adattár,12/3,43,,,,,,,,,,,,
RMNY304,RMNY,304,,Kolozsvár,1571,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY306,RMNY,306,,Bártfa,1586,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,306,,,,,,,,,,,,
RMNY307,RMNY,307,,Kolozsvár,1571,Zsámboky János,Wien,1587,Adattár,12/2,359,,,,,,,,,,,,
RMNY316,RMNY,316,,Kolozsvár,1571,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
RMNY317,RMNY,317,,Kolozsvár,1572,Batthyány Ádám,Németújvár,1644,KKK,4,182,,,,,,,,,,,,
RMNY317,RMNY,317,,Kolozsvár,1572,Batthyány Ádám,Németújvár,1653,KKK,4,223,,,,,,,,,,,,
RMNY317,RMNY,317,,Kolozsvár,1572,Dudith András,Wrocław,1589,Adattár,12/2,150,,,,,,,,,,,,
RMNY321,RMNY,321,,Alsólendva,1573,Zsámboky János,Wien,1587,Adattár,12/2,343,,,,,,,,,,,,
RMNY324,RMNY,324,,Kolozsvár,1572,Rákóczi-család,Sárospatak,1660,KKK,1,164,642,,,,,,,,,,,
RMNY333,RMNY,333,,Sempte,1573,Rákóczi-család,Sárospatak,1660,KKK,1,153,580,,,,,,,,,,,
RMNY333,RMNY,333,,Sempte,1573,Esterházy József,Cseklész,1749,Adattár,13/5,116,,,,,,,,,,,,
RMNY334,RMNY,334,,Alsólendva,1574,Rákóczi-család,Sárospatak,1660,KKK,1,154,583,,,,,,,,,,,
RMNY334,RMNY,334,,Alsólindva,1574,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
RMNY334,RMNY,334,,Alsólindva,1574,Kis Király Pál,Kassa,1655,Adattár,15,47,,,,,,,,,,,,
RMNY334,RMNY,334,,Alsólindva,1574,Tarczy Pál,Kassa,1606,Adattár,15,10,,,,,,,,,,,,
RMNY344,RMNY,344,,Debrecen,1574,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
RMNY347,RMNY,347,,Gyulafehérvár,1574,Rákóczi-család,Sárospatak,1660,KKK,1,160,615,,,,,,,,,,,
RMNY351,RMNY,351,,Kolozsvár,1574,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
RMNY355,RMNY,355,,Sempte,1574,Rákóczi-család,Sárospatak,1660,KKK,1,153,580,,,,,,,,,,,
RMNY355,RMNY,355,,Sempte,1574,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Ráday-család,Pécel,1730,KKK,7,183,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Bethlen-kollégium,Nagyenyed,1762,KKK,10,13,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Dévényi István,Kassa,1644,Adattár,15,30,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Kállay Erzsébet,Kassa,1625,Adattár,15,21,,,,,,,,,,,,
RMNY360,RMNY,360,,Kolozsvár,1575,Serédi Benedek,Kolozsvár,1678,Adattár,16/2,10,,,,,,,,,,,,
RMNY362,RMNY,362,,Sempte,1575,Rákóczi-család,Sárospatak,1660,KKK,1,153,580,,,,,,,,,,,
RMNY362,RMNY,362,,Sempte,1575,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
RMNY374,RMNY,374,,Wien,1577,Rákóczi-család,Sárospatak,1660,KKK,1,154,581,,,,,,,,,,,
RMNY374,RMNY,374,,Wien,1577,Bethlen-kollégium,Nagyenyed,1762,KKK,10,66,,,,,,,,,,,,
RMNY378,RMNY,378,,Debrecen,1577,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY388,RMNY,388,,Kolozsvár,1577,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
RMNY396,RMNY,396,,Sempte,1577,Rákóczi-család,Sárospatak,1660,KKK,1,163,635,,,,,,,,,,,
RMNY407,RMNY,407,,Besztercebánya,1578,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,306,,,,,,,,,,,,
RMNY413,RMNY,413,,Kolozsvár,1578,Bethlen-kollégium,Nagyenyed,1762,KKK,10,18,,,,,,,,,,,,
RMNY413,RMNY,413,,Kolozsvár,1578,Apáti Madár Miklós,Debrecen,1680,Adattár,14,323,,,,,,,,,,,,
RMNY415,RMNY,415,,Kolozsvár,1578,Batthyány Ádám,Németújvár,1651,KKK,4,193,,,,,,,,,,,,
RMNY416,RMNY,416,,Kolozsvár,1578,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
RMNY422,RMNY,422,,Sempte,1578,Rákóczi-család,Sárospatak,1660,KKK,1,153,580,,,,,,,,,,,
RMNY426,RMNY,426,,Bártfa,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,81,,,,,,,,,,,,
RMNY431,RMNY,431,,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,156,,,,,,,,,,,,
RMNY432,RMNY,432,,Detrekő,1579,Rákóczi-család,Sárospatak,1660,KKK,1,153,580,,,,,,,,,,,
RMNY432,RMNY,432,,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,76,,,,,,,,,,,,
RMNY432,RMNY,432,,Detrekő,1579,Bethlen-kollégium,Nagyenyed,1762,KKK,10,157,,,,,,,,,,,,
RMNY444,RMNY,444,,Nagyszombat,1579,Dudith András,Wrocław,1589,Adattár,12/3,150,,,,,,,,,,,,
RMNY474,RMNY,474,,Nagyszombat,1580,Rákóczi-család,Sárospatak,1660,KKK,1,154,582,,,,,,,,,,,
RMNY474,RMNY,474,,Nagyszombat,1580,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
RMNY474,RMNY,474,,Nagyszombat,1580,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,342,,,,,,,,,,,,
RMNY476,RMNY,476,,Nagyszombat,1580,Mossóczi Zakariás,Nyitra,1587,Adattár,11,457,,,,,,,,,,,,
RMNY476,RMNY,476,,Nagyszombat,1580,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,304,,,,,,,,,,,,
RMNY518,RMNY,518,,Németújvár,1582,Beythe-család,Németújvár,1612,KKK,9,256,167,,,,,,,,,,,
RMNY525,RMNY,525,,Debrecen,1583,Ráday-család,Pécel,1730,KKK,7,203,,,,,,,,,,,,
RMNY525,RMNY,525,,Debrecen,1583,Bethlen-kollégium,Nagyenyed,1762,KKK,10,147,,,,,,,,,,,,
RMNY528,RMNY,528,,Nagyszombat,1583,Rákóczi-család,Sárospatak,1660,KKK,1,160,616,,,,,,,,,,,
RMNY528,RMNY,528,,Nagyszombat,1583,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
RMNY532,RMNY,532,,Németújvár,1582,Batthyány Ádám,Németújvár,1654,KKK,4,250,,,,,,,,,,,,
RMNY533,RMNY,533,,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,210,56,,,,,,,,,,,
RMNY534,RMNY,534,,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,256,166,,,,,,,,,,,
RMNY536,RMNY,536,,Németújvár,1583,Beythe-család,Németújvár,1612,KKK,9,319,318,,,,,,,,,,,
RMNY539,RMNY,539,,Debrecen,1584,Rákóczi-család,Sárospatak,1660,KKK,1,158,606,,,,,,,,,,,
RMNY541,RMNY,541,,Detrekő,1584,Bethlen-kollégium,Nagyenyed,1762,KKK,10,9,,,,,,,,,,,,
RMNY541,RMNY,541,,Detrekő,1584,Mossóczi Zakariás,Nyitra,1587,Adattár,11,475,,,,,,,,,,,,
RMNY547,RMNY,547,,Kolozsvár,1584,Dudith András,Wrocław,1589,Adattár,12/2,149,,,,,,,,,,,,
RMNY549,RMNY,549,,Nagyszombat,1584,Dudith András,Wrocław,1589,Adattár,12/2,150,,,,,,,,,,,,
RMNY549,RMNY,549,,Nagyszombat,1584,Ráday-család,Pécel,1725,Adattár,13/4,303,,,,,,,,,,,,
RMNY549,RMNY,549,,Nagyszombat,1584,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,247,,,,,,,,,,,,
RMNY552,RMNY,552,,Németújvár,1584,Dudith András,Wrocław,1589,Adattár,12/2,149,,,,,,,,,,,,
RMNY576,RMNY,576,,Bártfa,1586,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
RMNY584,RMNY,584,,Debrecen,1586,Bethlen-kollégium,Nagyenyed,1762,KKK,10,62,,,,,,,,,,,,
RMNY584,RMNY,584,,Debrecen,1586,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY595,RMNY,595,,Debrecen,1587,Bethlen-kollégium,Nagyenyed,1762,KKK,10,69,,,,,,,,,,,,
RMNY595,RMNY,595,,Debrecen,1587,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY620,RMNY,620,,Nagyszombat,1588,Rákóczi-család,Sárospatak,1660,KKK,1,159,612,,,,,,,,,,,
RMNY622A,RMNY,622,A,Debrecen,1589,Batthyány Ádám,Németújvár,1651,KKK,4,217,,,,,,,,,,,,
RMNY632,RMNY,632,,Nagyszombat,1589,Rákóczi-család,Sárospatak,1660,KKK,1,159,613,,,,,,,,,,,
