year,method,language,S,richness,lci,uci
1971,"chao1","latin",237,360.69,316.96,416.87,
1971,"ichao1","latin",237,389.19,334.64,445.70,
1971,"ace","latin",237,332.72,313.76,348.01,
1971,"jackknife","latin",237,436.00,361.73,510.27,
1971,"egghe_proot","latin",237,435.14,369.98,559.96,
1971,"chao1","magyar",324,448.18,396.41,545.41,
1971,"ichao1","magyar",324,478.95,418.42,521.16,
1971,"ace","magyar",324,464.52,441.52,500.54,
1971,"jackknife","magyar",324,516.00,461.26,570.74,
1971,"egghe_proot","magyar",324,498.55,446.81,555.96,
1971,"chao1","német",29,47.10,38.34,61.82,
1971,"ichao1","német",29,48.88,39.22,64.65,
1971,"ace","német",29,53.96,25.62,108.05,
1971,"jackknife","német",29,54.00,34.80,73.20,
1971,"egghe_proot","német",29,49.61,40.60,68.42,
2024,"chao1","latin",245,374.94,350.54,404.34,
2024,"ichao1","latin",245,403.77,378.77,445.48,
2024,"ace","latin",245,348.06,311.46,393.68,
2024,"jackknife","latin",245,453.00,376.89,529.11,
2024,"egghe_proot","latin",245,449.52,381.02,556.60,
2024,"chao1","magyar",337,481.03,442.13,526.36,
2024,"ichao1","magyar",337,515.86,472.69,569.68,
2024,"ace","magyar",337,492.31,461.70,511.97,
2024,"jackknife","magyar",337,549.00,492.19,605.81,
2024,"egghe_proot","magyar",337,541.17,475.44,609.95,
2024,"chao1","német",34,63.82,42.66,92.50,
2024,"ichao1","német",34,65.32,29.14,172.48,
2024,"ace","német",34,58.39,37.77,75.83,
2024,"jackknife","német",34,66.00,45.07,86.93,
2024,"egghe_proot","német",34,72.37,34.03,192.23,
