data,method,S,hipothetical,estimation,richness,min,max,total,diff,percent,label
1885,basis,520,122,chao1,787.01,698.39,843.17,642,145.01,22.58722741433022,"788
23.000000%"
1885,basis,520,122,ichao1,842.35,769.73,958.46,642,200.35000000000002,31.207165109034275,"843
31.000000%"
1885,basis,520,122,ace,768.69,744.99,805.1,642,126.69000000000005,19.733644859813094,"769
20.000000%"
1885,basis,520,122,jackknife,962,846.84,1077.16,642,320,49.84423676012461,"962
50.000000%"
1885,basis,520,122,egghe_proot,898.73,832,950.01,642,256.73,39.98909657320872,"899
40.000000%"
1971,basis,651,168,chao1,933.8,877.99,1013.73,819,114.79999999999995,14.017094017094013,"934
14.000000%"
1971,basis,651,168,ichao1,1001.42,939.46,1078.57,819,182.41999999999996,22.27350427350427,"1002
22.000000%"
1971,basis,651,168,ace,935,902.78,971.77,819,116,14.163614163614163,"935
14.000000%"
1971,basis,651,168,jackknife,1136,1010.75,1261.25,819,317,38.7057387057387,"1136
39.000000%"
1971,basis,651,168,egghe_proot,1063.45,999.32,1220.35,819,244.45000000000005,29.84737484737485,"1064
30.000000%"
2025,basis,694,173,chao1,984.91,938.43,1039.84,867,117.90999999999997,13.599769319492498,"985
14.000000%"
2025,basis,694,173,ichao1,1057.59,1018.87,1135.35,867,190.58999999999992,21.982698961937707,"1058
22.000000%"
2025,basis,694,173,ace,980.53,943.18,1027.8,867,113.52999999999997,13.094579008073813,"981
13.000000%"
2025,basis,694,173,jackknife,1199,1071.95,1326.05,867,332,38.292964244521336,"1199
38.000000%"
2025,basis,694,173,egghe_proot,1135.29,1050.78,1240.59,867,268.28999999999996,30.944636678200688,"1136
31.000000%"
