format,count
4°,2
2°,10
2°,5
4°,1
egyéb,1
egyéb,4
egyéb,4
egyéb,4
8°,1
8°,16
8°,14
8°,3
8°,2
8°,13
8°,2
8°,5
8°,2
8°,1
8°,1
8°,5
8°,3
8°,1
8°,2
4°,23
8°,1
8°,11
8°,2
8°,4
8°,1
8°,15
8°,3
8°,5
2°,3
8°,8
8°,9
8°,11
8°,1
8°,1
8°,1
8°,2
8°,2
8°,2
egyéb,3
egyéb,2
8°,1
4°,12
8°,1
8°,4
4°,20
8°,3
8°,12
4°,23
8°,14
8°,1
8°,3
2°,1
8°,2
8°,1
8°,5
8°,1
8°,3
8°,5
8°,1
8°,1
4°,9
8°,4
8°,3
8°,1
8°,1
8°,1
8°,1
8°,3
8°,2
egyéb,7
8°,1
8°,1
8°,1
8°,2
4°,4
8°,1
4°,6
egyéb,2
8°,2
4°,15
2°,3
8°,2
8°,2
8°,4
4°,2
4°,1
4°,1
4°,1
4°,2
4°,1
8°,2
4°,2
4°,7
8°,1
8°,2
8°,2
8°,1
8°,11
4°,1
2°,9
4°,3
egyéb,1
4°,1
8°,1
4°,2
2°,6
8°,1
egyéb,9
4°,3
4°,1
4°,6
8°,1
8°,2
8°,1
4°,27
8°,4
4°,14
8°,1
1°,1
2°,2
8°,1
8°,1
4°,13
4°,15
8°,5
8°,2
8°,3
4°,1
8°,5
8°,8
8°,1
2°,2
2°,12
2°,16
4°,12
2°,30
8°,1
4°,1
4°,1
4°,9
egyéb,5
8°,1
8°,3
8°,6
4°,2
8°,2
4°,1
8°,2
2°,3
8°,1
4°,3
4°,6
4°,6
4°,11
4°,5
4°,5
4°,1
8°,1
2°,3
egyéb,1
egyéb,1
4°,4
4°,3
4°,10
4°,11
4°,1
4°,21
4°,3
4°,13
4°,11
4°,4
4°,15
4°,5
4°,30
2°,10
4°,16
4°,21
4°,1
egyéb,1
egyéb,3
8°,2
4°,3
4°,1
egyéb,1
2°,11
4°,20
8°,10
egyéb,2
4°,1
4°,3
4°,1
4°,2
egyéb,1
4°,2
4°,8
4°,1
egyéb,1
8°,6
4°,6
4°,6
4°,8
8°,1
egyéb,1
4°,1
8°,7
8°,2
4°,2
4°,1
4°,1
4°,1
4°,2
4°,1
4°,1
4°,1
4°,14
4°,1
4°,4
4°,41
4°,1
4°,1
4°,1
4°,1
8°,1
8°,1
4°,41
8°,1
8°,1
4°,2
8°,1
4°,10
egyéb,1
egyéb,1
egyéb,1
4°,19
4°,24
2°,1
4°,1
egyéb,1
egyéb,1
egyéb,1
4°,1
4°,2
4°,1
4°,2
4°,1
4°,1
4°,1
4°,10
4°,13
4°,2
4°,1
4°,2
4°,20
4°,2
4°,3
2°,7
4°,17
2°,5
4°,7
4°,1
2°,46
egyéb,1
egyéb,19
egyéb,2
egyéb,6
4°,2
4°,2
4°,4
8°,1
4°,1
1°,1
8°,1
4°,2
2°,2
8°,1
4°,1
4°,1
4°,1
4°,3
4°,3
4°,3
4°,3
4°,3
4°,4
4°,3
4°,2
4°,1
8°,2
8°,2
8°,2
8°,5
4°,1
egyéb,1
4°,1
8°,9
8°,2
4°,3
2°,6
egyéb,1
egyéb,1
2°,2
4°,20
4°,2
4°,1
4°,1
4°,2
4°,44
4°,1
4°,6
4°,1
egyéb,1
8°,1
egyéb,6
2°,5
4°,2
4°,4
egyéb,1
4°,6
4°,10
4°,2
8°,3
2°,4
4°,2
4°,3
4°,2
4°,2
8°,2
4°,1
8°,33
egyéb,1
1°,1
8°,1
8°,1
egyéb,5
egyéb,1
4°,9
4°,1
egyéb,4
8°,7
4°,1
4°,7
4°,2
4°,3
4°,2
4°,1
4°,2
8°,1
4°,3
4°,4
4°,1
8°,1
8°,3
8°,12
4°,57
8°,3
4°,18
2°,16
8°,1
4°,1
2°,13
8°,6
4°,1
4°,1
egyéb,2
8°,2
8°,1
8°,1
4°,6
4°,1
4°,2
4°,3
4°,1
8°,5
4°,2
egyéb,2
4°,1
egyéb,1
2°,3
4°,2
4°,2
4°,1
8°,2
4°,1
4°,1
4°,1
egyéb,1
4°,1
4°,1
4°,2
4°,1
4°,1
4°,10
4°,1
8°,1
8°,1
egyéb,1
2°,7
egyéb,4
8°,2
2°,4
4°,44
egyéb,36
4°,22
4°,1
8°,1
4°,12
2°,2
1°,3
8°,3
egyéb,1
4°,1
8°,2
8°,1
4°,2
egyéb,7
4°,13
egyéb,1
2°,38
egyéb,1
4°,5
4°,1
4°,11
4°,5
2°,71
4°,14
4°,14
4°,19
8°,6
8°,2
egyéb,1
8°,15
4°,5
egyéb,1
8°,3
egyéb,2
8°,16
8°,1
4°,7
8°,1
4°,7
8°,5
4°,4
8°,25
8°,1
4°,2
4°,1
4°,1
4°,1
4°,25
4°,2
4°,2
2°,1
8°,1
4°,4
4°,1
4°,1
4°,1
4°,3
4°,1
4°,1
4°,8
8°,1
4°,1
egyéb,3
4°,2
4°,1
4°,2
4°,19
4°,1
egyéb,2
8°,2
4°,3
egyéb,2
8°,2
4°,4
4°,4
8°,3
4°,30
egyéb,1
egyéb,1
egyéb,5
2°,1
4°,2
8°,3
4°,2
8°,1
4°,1
egyéb,2
egyéb,1
4°,44
4°,45
2°,4
8°,5
4°,1
4°,1
2°,1
8°,1
8°,1
4°,1
egyéb,4
8°,1
egyéb,2
8°,1
2°,67
8°,3
4°,2
8°,2
8°,2
4°,6
8°,3
8°,1
4°,1
4°,3
4°,3
8°,1
4°,2
8°,10
4°,1
8°,1
8°,5
8°,10
2°,1
2°,1
4°,2
egyéb,3
8°,12
8°,1
8°,2
4°,1
egyéb,1
8°,1
4°,3
4°,3
4°,1
4°,5
4°,6
4°,4
8°,3
4°,2
4°,1
egyéb,1
egyéb,1
8°,2
8°,1
8°,2
8°,4
egyéb,8
2°,1
egyéb,1
2°,1
8°,6
8°,5
8°,10
4°,3
4°,1
8°,9
egyéb,2
4°,1
egyéb,1
8°,3
4°,49
egyéb,1
4°,1
4°,1
8°,9
8°,1
egyéb,2
8°,6
egyéb,3
egyéb,3
2°,1
4°,1
8°,2
8°,2
8°,1
8°,6
4°,1
8°,1
8°,3
8°,2
8°,4
8°,1
4°,1
8°,2
8°,1
8°,3
4°,2
egyéb,1
8°,8
8°,1
4°,6
8°,2
8°,6
4°,11
egyéb,1
egyéb,1
egyéb,1
8°,6
4°,2
egyéb,5
2°,26
4°,2
4°,1
8°,1
4°,1
4°,2
4°,2
4°,4
4°,29
egyéb,1
egyéb,1
8°,1
4°,2
8°,6
4°,2
8°,1
4°,2
4°,15
8°,7
4°,1
4°,10
8°,1
4°,2
4°,1
4°,2
8°,1
8°,4
8°,1
4°,2
egyéb,1
4°,2
4°,22
egyéb,5
egyéb,3
egyéb,1
8°,3
egyéb,16
4°,1
4°,3
8°,1
4°,2
4°,1
4°,3
4°,1
4°,3
4°,4
4°,1
4°,3
8°,5
4°,14
4°,14
egyéb,2
egyéb,2
8°,1
8°,2
4°,60
8°,2
8°,5
egyéb,1
8°,1
8°,1
4°,3
4°,1
4°,1
4°,1
8°,44
4°,6
egyéb,1
4°,2
4°,1
4°,1
8°,5
4°,1
4°,10
egyéb,1
egyéb,2
egyéb,4
4°,4
4°,3
8°,1
egyéb,5
8°,5
2°,1
4°,12
8°,7
egyéb,1
8°,1
4°,21
egyéb,1
8°,3
4°,1
4°,11
4°,17
8°,2
4°,1
4°,2
1°,2
4°,1
egyéb,1
4°,1
egyéb,2
4°,1
8°,1
4°,15
4°,5
8°,3
2°,1
egyéb,6
4°,22
4°,4
egyéb,1
4°,3
4°,13
8°,4
8°,6
4°,14
egyéb,2
4°,7
4°,4
8°,1
4°,2
4°,3
4°,2
4°,3
4°,1
8°,1
egyéb,1
4°,1
4°,2
4°,1
8°,1
4°,1
4°,2
2°,1
4°,1
egyéb,1
egyéb,1
4°,2
8°,2
egyéb,2
egyéb,1
4°,1
4°,1
4°,3
4°,1
4°,1
egyéb,1
8°,8
4°,1
egyéb,1
egyéb,1
4°,1
4°,7
4°,1
8°,5
egyéb,2
4°,4
egyéb,3
egyéb,4
8°,1
egyéb,2
4°,7
8°,1
8°,2
4°,2
4°,4
4°,13
4°,18
egyéb,7
4°,8
egyéb,4
egyéb,1
4°,3
4°,2
4°,14
8°,4
4°,3
4°,1
4°,44
8°,1
4°,5
8°,4
egyéb,2
egyéb,5
8°,1
4°,2
4°,11
4°,9
8°,1
egyéb,2
8°,4
8°,12
egyéb,7
8°,1
8°,1
egyéb,2
4°,11
4°,1
8°,1
4°,25
2°,1
egyéb,2
egyéb,11
2°,1
4°,1
8°,5
4°,3
8°,2
egyéb,1
4°,2
4°,4
8°,4
8°,6
8°,4
2°,6
2°,63
egyéb,2
8°,2
8°,2
8°,2
8°,1
4°,8
4°,5
egyéb,1
8°,2
egyéb,4
4°,2
8°,10
egyéb,3
8°,2
egyéb,1
egyéb,4
4°,1
4°,1
8°,6
8°,3
4°,12
4°,7
egyéb,2
4°,1
1°,1
8°,1
egyéb,9
8°,19
egyéb,2
egyéb,6
egyéb,2
4°,1
8°,3
8°,22
4°,1
4°,7
8°,8
4°,25
8°,6
egyéb,3
4°,1
8°,1
8°,1
4°,1
egyéb,2
8°,17
4°,15
egyéb,5
8°,6
8°,7
8°,8
4°,12
4°,1
8°,1
8°,5
8°,1
2°,1
4°,2
egyéb,6
8°,3
4°,2
1°,1
4°,1
egyéb,5
2°,1
8°,11
8°,9
4°,1
4°,2
4°,8
8°,1
4°,3
8°,30
4°,1
egyéb,5
4°,1
4°,2
8°,1
egyéb,1
4°,1
4°,11
2°,3
4°,26
8°,1
8°,1
8°,1
2°,13
4°,29
8°,1
4°,1
egyéb,1
4°,1
egyéb,3
4°,2
4°,1
4°,1
2°,8
8°,1
8°,1
4°,1
4°,1
egyéb,3
8°,8
4°,1
4°,2
egyéb,8
4°,1
8°,1
4°,27
8°,2
egyéb,2
1°,1
8°,2
4°,2
4°,1
8°,1
4°,32
8°,12
2°,6
2°,2
4°,2
8°,1
4°,1
8°,13
4°,2
4°,3
4°,1
4°,4
4°,1
4°,1
8°,2
4°,23
4°,1
8°,1
4°,1
4°,1
2°,1
2°,3
8°,14
egyéb,2
4°,1
4°,1
4°,1
4°,1
egyéb,1
egyéb,1
4°,1
4°,1
4°,3
4°,1
8°,1
egyéb,4
2°,1
egyéb,1
2°,1
4°,7
4°,8
2°,71
egyéb,2
8°,3
egyéb,2
8°,6
8°,10
8°,9
8°,1
egyéb,1
8°,1
2°,1
4°,30
4°,30
egyéb,1
2°,3
4°,1
4°,2
8°,1
1°,3
egyéb,2
egyéb,1
8°,6
8°,1
4°,2
4°,1
4°,3
egyéb,4
egyéb,1
2°,3
egyéb,4
4°,3
4°,1
8°,13
4°,1
4°,1
4°,1
8°,3
egyéb,1
4°,8
8°,2
8°,3
4°,27
8°,10
8°,1
4°,2
2°,1
4°,6
egyéb,4
2°,4
2°,7
4°,1
4°,2
4°,5
4°,1
4°,2
4°,11
4°,2
4°,4
egyéb,1
egyéb,3
egyéb,7
4°,22
egyéb,1
2°,1
4°,1
4°,1
2°,2
2°,1
8°,1
8°,1
egyéb,1
4°,3
8°,2
2°,58
4°,5
4°,11
egyéb,2
4°,1
2°,1
2°,1
8°,1
4°,1
2°,1
4°,2
egyéb,1
4°,23
8°,1
8°,1
8°,1
egyéb,13
4°,20
4°,1
2°,1
4°,1
4°,3
4°,1
4°,1
4°,1
egyéb,1
egyéb,6
egyéb,4
4°,1
egyéb,1
4°,2
4°,1
1°,1
4°,67
8°,1
egyéb,1
egyéb,3
egyéb,2
8°,1
2°,2
2°,5
2°,3
2°,2
8°,9
4°,1
4°,1
4°,1
4°,1
4°,1
egyéb,1
2°,1
egyéb,1
4°,1
4°,1
4°,1
4°,54
8°,4
4°,37
1°,1
egyéb,1
2°,1
egyéb,4
egyéb,1
8°,4
egyéb,2
8°,1
4°,3
2°,3
4°,1
4°,2
4°,1
egyéb,2
2°,1
8°,1
4°,1
2°,120
2°,102
4°,1
4°,6
8°,5
4°,1
egyéb,1
4°,20
4°,26
4°,1
8°,16
egyéb,2
egyéb,1
egyéb,1
egyéb,1
2°,4
egyéb,1
egyéb,3
egyéb,7
4°,16
4°,3
4°,3
4°,1
4°,2
4°,1
egyéb,4
8°,5
egyéb,4
egyéb,3
4°,1
8°,1
4°,1
4°,1
egyéb,1
egyéb,1
egyéb,2
4°,12
8°,11
8°,6
2°,4
2°,1
2°,2
4°,13
egyéb,2
4°,1
8°,1
8°,1
8°,8
egyéb,5
egyéb,1
8°,3
8°,4
2°,4
egyéb,1
4°,17
4°,3
8°,6
8°,1
egyéb,2
egyéb,5
4°,1
egyéb,2
8°,5
4°,3
egyéb,1
4°,1
4°,3
4°,17
8°,5
egyéb,2
8°,11
egyéb,2
8°,2
8°,6
8°,10
8°,1
2°,5
8°,2
8°,1
8°,1
egyéb,1
egyéb,1
4°,2
4°,2
egyéb,1
2°,1
4°,2
egyéb,1
4°,2
4°,2
4°,1
4°,20
egyéb,2
2°,1
8°,4
4°,1
8°,20
egyéb,1
egyéb,7
egyéb,3
2°,3
2°,2
2°,15
4°,2
egyéb,1
4°,3
egyéb,2
4°,40
8°,5
8°,1
2°,66
4°,1
egyéb,4
egyéb,18
egyéb,1
2°,6
4°,18
egyéb,1
4°,1
egyéb,5
4°,1
8°,4
4°,38
2°,3
4°,1
2°,134
4°,1
egyéb,1
8°,1
8°,6
4°,6
4°,3
4°,4
8°,3
4°,2
8°,2
egyéb,1
8°,7
4°,1
2°,5
2°,38
egyéb,2
4°,3
4°,1
4°,1
1°,1
4°,2
egyéb,3
4°,6
4°,1
4°,1
4°,1
4°,1
1°,1
egyéb,5
4°,1
4°,11
4°,1
egyéb,1
4°,5
4°,2
4°,2
4°,1
4°,1
4°,1
egyéb,1
8°,15
8°,21
8°,14
egyéb,3
egyéb,1
8°,7
egyéb,1
8°,23
8°,4
4°,1
2°,1
8°,9
8°,2
egyéb,1
egyéb,1
8°,1
egyéb,2
4°,3
4°,1
4°,2
egyéb,1
4°,1
8°,6
8°,22
8°,14
egyéb,2
4°,8
4°,1
egyéb,5
4°,6
4°,4
4°,14
4°,6
egyéb,1
4°,5
4°,3
4°,1
8°,1
4°,2
4°,4
4°,1
8°,12
8°,15
egyéb,1
egyéb,1
egyéb,2
8°,7
4°,3
4°,3
4°,1
8°,2
4°,1
4°,1
4°,2
8°,1
egyéb,3
4°,1
4°,2
8°,3
egyéb,1
4°,1
4°,3
4°,2
8°,2
2°,67
4°,5
8°,3
4°,8
egyéb,1
4°,1
4°,4
4°,2
4°,4
2°,60
4°,12
4°,22
4°,27
8°,23
egyéb,1
egyéb,7
2°,1
8°,1
2°,3
8°,2
8°,1
egyéb,1
egyéb,5
egyéb,1
8°,2
4°,1
