nyelv,count
latin,2
latin,10
latin,5
latin,1
latin,1
latin,4
német,4
latin,16
latin,14
latin,3
latin,2
latin,13
latin,5
latin,2
magyar,1
latin,3
latin,1
magyar,23
latin,11
latin,4
német,1
latin,15
latin,3
latin,5
német,8
német,9
latin,11
latin,1
latin,1
latin,1
német,2
latin,2
magyar,3
latin,2
magyar,1
latin,12
magyar,1
latin,4
magyar,20
magyar,3
magyar,12
magyar,23
magyar,14
latin,1
magyar,3
magyar,2
magyar,1
magyar,5
latin,1
latin,3
latin,5
latin,1
latin,1
magyar,9
latin,4
német,1
latin,1
latin,1
latin,3
latin,2
latin,7
magyar,1
latin,1
latin,2
latin,4
német,1
latin,6
magyar,2
latin,2
latin,2
latin,2
latin,4
latin,2
latin,1
latin,1
latin,1
latin,2
magyar,1
latin,2
latin,2
magyar,7
magyar,1
latin,2
magyar,2
latin,1
magyar,11
magyar,3
magyar,1
magyar,1
magyar,1
magyar,2
latin,1
latin,9
latin,3
magyar,1
magyar,6
magyar,1
magyar,2
magyar,1
magyar,27
latin,4
latin,14
latin,1
latin,1
magyar,2
magyar,1
magyar,1
magyar,13
magyar,15
latin,5
latin,2
latin,3
latin,1
latin,5
latin,8
latin,1
magyar,12
latin,16
magyar,12
latin,30
latin,1
latin,1
latin,1
magyar,9
latin,1
latin,3
magyar,6
magyar,2
latin,2
magyar,1
latin,2
latin,3
latin,6
magyar,6
latin,11
magyar,5
magyar,5
latin,1
latin,1
magyar,4
magyar,3
latin,10
latin,11
magyar,1
latin,21
latin,3
latin,13
latin,11
latin,4
latin,15
magyar,5
latin,30
magyar,10
latin,16
magyar,21
magyar,1
magyar,3
magyar,1
magyar,1
magyar,11
latin,20
latin,10
magyar,2
magyar,1
magyar,2
magyar,1
latin,2
magyar,8
magyar,1
magyar,1
magyar,6
latin,6
magyar,6
latin,8
magyar,1
magyar,1
magyar,1
latin,7
német,2
magyar,2
magyar,1
magyar,1
magyar,1
magyar,2
latin,1
magyar,1
magyar,1
magyar,14
latin,1
latin,4
magyar,41
magyar,1
magyar,1
magyar,1
magyar,1
latin,41
magyar,1
magyar,1
magyar,2
magyar,1
magyar,10
magyar,1
magyar,1
magyar,1
magyar,19
magyar,24
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,10
magyar,13
magyar,2
magyar,1
magyar,2
magyar,20
magyar,2
magyar,3
magyar,17
magyar,7
magyar,1
magyar,46
magyar,1
magyar,19
latin,2
magyar,6
magyar,2
magyar,4
német,1
magyar,1
latin,1
latin,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,3
magyar,3
magyar,3
magyar,3
magyar,3
magyar,4
magyar,3
magyar,2
latin,1
magyar,2
magyar,2
latin,2
latin,5
latin,1
latin,1
latin,1
latin,9
latin,2
latin,3
magyar,1
magyar,1
magyar,20
magyar,2
magyar,1
magyar,1
latin,2
magyar,44
magyar,1
magyar,6
latin,1
magyar,1
német,1
magyar,6
magyar,2
magyar,4
magyar,1
magyar,6
magyar,10
magyar,2
magyar,3
magyar,2
magyar,3
magyar,2
magyar,2
magyar,2
magyar,1
latin,33
magyar,1
latin,1
latin,1
német,1
magyar,5
magyar,1
magyar,9
magyar,1
magyar,4
latin,7
magyar,1
magyar,7
magyar,2
magyar,3
magyar,2
magyar,1
magyar,2
latin,1
magyar,3
magyar,4
latin,1
latin,1
latin,12
magyar,57
magyar,3
magyar,18
latin,1
latin,6
magyar,1
magyar,1
magyar,2
magyar,2
latin,1
latin,1
magyar,6
latin,1
magyar,2
magyar,3
magyar,1
magyar,5
latin,2
magyar,2
magyar,1
magyar,1
magyar,3
magyar,2
magyar,2
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,10
magyar,1
magyar,1
magyar,1
latin,1
magyar,4
latin,2
német,44
latin,36
magyar,22
magyar,1
latin,1
latin,2
latin,3
magyar,3
magyar,1
latin,1
latin,2
német,2
német,7
magyar,13
magyar,1
magyar,38
magyar,1
latin,5
latin,1
latin,11
latin,5
latin,71
magyar,14
magyar,14
magyar,19
latin,6
latin,2
latin,1
magyar,15
magyar,5
latin,1
latin,3
magyar,2
latin,16
latin,1
latin,7
latin,1
magyar,7
latin,5
német,4
latin,25
német,1
magyar,1
latin,1
magyar,25
magyar,2
latin,1
magyar,1
német,4
magyar,1
magyar,1
magyar,1
magyar,3
latin,1
német,1
német,8
magyar,1
magyar,1
magyar,3
magyar,1
magyar,2
magyar,19
magyar,1
latin,2
latin,2
magyar,3
latin,2
latin,2
magyar,4
latin,4
magyar,3
magyar,30
latin,1
magyar,1
magyar,5
latin,1
magyar,2
latin,3
magyar,2
latin,1
latin,1
magyar,2
magyar,1
magyar,44
magyar,45
magyar,4
latin,5
magyar,1
magyar,1
latin,1
latin,1
magyar,1
magyar,4
német,1
magyar,2
magyar,1
magyar,67
latin,3
német,2
magyar,2
latin,6
latin,3
magyar,1
magyar,3
magyar,3
latin,1
magyar,2
magyar,10
magyar,1
magyar,1
magyar,5
magyar,10
latin,1
latin,1
latin,2
magyar,3
latin,12
magyar,2
magyar,1
magyar,1
magyar,1
magyar,3
magyar,3
magyar,1
magyar,5
magyar,6
magyar,4
magyar,2
magyar,1
magyar,1
magyar,1
magyar,2
magyar,2
magyar,4
német,8
latin,1
latin,1
latin,1
latin,6
latin,5
latin,10
magyar,3
latin,1
latin,9
magyar,2
latin,1
magyar,1
latin,49
magyar,1
latin,1
latin,1
latin,9
magyar,1
magyar,2
magyar,6
magyar,3
magyar,3
latin,1
német,2
német,2
német,1
magyar,6
latin,1
német,1
magyar,3
latin,2
magyar,4
német,1
latin,1
latin,2
latin,1
latin,3
latin,2
latin,1
latin,8
latin,1
latin,6
magyar,2
magyar,6
magyar,11
német,1
német,1
latin,1
latin,6
német,2
latin,5
latin,26
magyar,2
magyar,1
magyar,1
magyar,2
magyar,2
latin,4
magyar,1
magyar,1
magyar,1
magyar,2
magyar,6
magyar,2
latin,1
latin,2
latin,15
latin,7
magyar,1
magyar,10
latin,1
latin,2
magyar,1
latin,2
magyar,1
latin,1
magyar,2
latin,1
magyar,2
latin,22
magyar,5
magyar,1
latin,3
latin,1
latin,3
latin,1
latin,2
magyar,1
latin,3
latin,1
latin,3
latin,4
latin,1
magyar,3
latin,5
magyar,14
magyar,14
magyar,2
magyar,2
magyar,1
magyar,2
magyar,60
magyar,2
magyar,5
magyar,1
magyar,1
magyar,3
latin,1
latin,1
latin,1
latin,44
latin,6
magyar,1
latin,2
német,1
magyar,1
latin,5
német,1
latin,10
német,1
magyar,4
magyar,3
latin,1
magyar,5
magyar,5
latin,1
latin,12
magyar,7
német,1
latin,1
magyar,21
latin,1
magyar,3
latin,1
magyar,11
magyar,17
latin,2
latin,1
magyar,2
magyar,2
latin,1
magyar,1
latin,1
magyar,2
magyar,1
latin,1
magyar,15
magyar,5
latin,1
magyar,6
magyar,22
latin,4
magyar,1
magyar,3
magyar,13
magyar,4
magyar,6
magyar,14
magyar,2
magyar,7
latin,4
magyar,1
magyar,2
magyar,3
magyar,2
magyar,3
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
latin,1
latin,2
magyar,1
német,1
magyar,1
latin,2
magyar,2
német,2
magyar,1
magyar,1
magyar,1
magyar,3
magyar,1
magyar,1
magyar,1
latin,8
magyar,1
német,1
magyar,1
magyar,7
latin,1
magyar,5
magyar,2
latin,4
magyar,3
magyar,4
magyar,2
magyar,7
magyar,1
magyar,2
latin,2
latin,4
latin,13
magyar,18
magyar,7
latin,8
magyar,4
magyar,1
latin,3
magyar,2
latin,14
magyar,4
magyar,3
latin,1
német,1
latin,5
latin,4
magyar,2
magyar,5
latin,2
latin,11
latin,9
magyar,1
német,2
latin,4
magyar,12
magyar,7
latin,1
latin,1
magyar,2
latin,11
latin,1
magyar,1
latin,25
latin,1
magyar,2
német,11
magyar,1
magyar,1
latin,5
magyar,3
latin,2
magyar,1
latin,2
latin,4
magyar,6
magyar,4
magyar,6
magyar,63
magyar,2
latin,2
latin,2
magyar,1
magyar,8
latin,5
latin,1
magyar,2
magyar,4
magyar,2
magyar,10
magyar,3
magyar,2
magyar,1
német,4
latin,1
latin,1
magyar,6
magyar,3
magyar,12
latin,7
magyar,2
magyar,1
latin,1
magyar,9
magyar,19
latin,2
magyar,6
magyar,2
magyar,1
magyar,3
latin,1
latin,7
magyar,8
magyar,25
latin,6
latin,3
latin,1
német,1
német,1
latin,1
magyar,2
magyar,17
magyar,15
magyar,5
latin,6
latin,7
magyar,8
latin,12
latin,1
magyar,1
magyar,5
német,1
latin,1
magyar,2
magyar,6
magyar,3
latin,2
latin,1
latin,1
magyar,5
latin,1
magyar,11
német,9
magyar,1
magyar,2
magyar,8
magyar,1
magyar,3
magyar,30
magyar,1
magyar,1
latin,1
magyar,1
latin,1
magyar,11
magyar,3
magyar,26
latin,1
latin,1
latin,1
latin,13
latin,29
német,1
latin,1
magyar,1
magyar,1
magyar,3
magyar,2
latin,1
latin,1
latin,8
magyar,1
magyar,1
magyar,1
magyar,1
magyar,3
magyar,8
magyar,1
magyar,2
magyar,8
német,1
magyar,1
magyar,27
német,2
latin,1
latin,2
latin,2
német,1
magyar,1
magyar,32
magyar,12
latin,6
latin,2
latin,2
latin,1
német,1
magyar,13
latin,2
latin,3
német,1
latin,4
magyar,1
magyar,1
magyar,2
magyar,23
magyar,1
latin,1
magyar,1
magyar,1
magyar,1
magyar,3
magyar,14
magyar,2
latin,1
latin,1
latin,1
német,1
latin,1
latin,1
latin,1
német,1
német,3
német,1
magyar,4
latin,1
magyar,1
magyar,1
latin,7
magyar,8
magyar,71
magyar,2
magyar,2
magyar,6
magyar,10
magyar,9
magyar,1
magyar,1
magyar,1
magyar,1
magyar,30
latin,30
magyar,1
magyar,3
magyar,1
magyar,2
magyar,1
magyar,3
magyar,2
latin,1
magyar,6
magyar,1
magyar,2
magyar,1
magyar,3
magyar,4
magyar,3
magyar,4
latin,3
latin,1
magyar,13
német,1
latin,1
latin,1
latin,3
magyar,1
latin,8
magyar,2
magyar,3
latin,27
magyar,10
magyar,1
latin,2
latin,1
magyar,6
magyar,4
magyar,4
magyar,7
latin,1
latin,2
magyar,5
latin,1
latin,2
latin,11
latin,2
német,4
magyar,1
német,3
magyar,7
magyar,22
magyar,1
magyar,1
latin,1
latin,1
magyar,2
magyar,1
latin,1
magyar,1
magyar,1
magyar,3
magyar,2
magyar,58
latin,5
magyar,11
magyar,2
magyar,1
magyar,1
latin,1
latin,1
magyar,1
latin,1
magyar,2
magyar,1
magyar,23
magyar,1
magyar,1
magyar,1
magyar,13
magyar,20
magyar,1
német,1
latin,3
latin,1
magyar,1
magyar,1
magyar,1
magyar,6
magyar,4
magyar,1
magyar,1
latin,2
magyar,1
latin,1
latin,67
magyar,1
magyar,2
magyar,1
magyar,2
magyar,5
magyar,3
magyar,2
magyar,9
latin,1
latin,1
latin,1
német,1
német,1
magyar,1
latin,1
magyar,1
latin,1
magyar,1
latin,1
magyar,54
magyar,37
latin,1
magyar,1
magyar,1
magyar,4
latin,1
magyar,4
magyar,2
magyar,3
latin,1
latin,2
magyar,1
magyar,2
latin,1
magyar,1
magyar,1
magyar,120
magyar,102
magyar,1
latin,6
magyar,5
magyar,1
német,1
latin,20
magyar,1
magyar,16
magyar,2
magyar,1
magyar,4
magyar,1
magyar,3
magyar,7
magyar,16
magyar,3
magyar,3
latin,1
latin,2
latin,1
magyar,4
magyar,5
magyar,4
magyar,3
latin,1
latin,1
latin,1
magyar,1
német,1
magyar,2
magyar,12
latin,11
magyar,6
magyar,4
magyar,1
magyar,2
magyar,13
magyar,2
magyar,1
latin,1
magyar,1
magyar,8
latin,5
latin,1
latin,3
latin,4
magyar,4
magyar,1
magyar,17
magyar,6
magyar,1
magyar,2
magyar,5
latin,1
magyar,2
magyar,3
német,1
magyar,1
latin,3
magyar,17
magyar,5
magyar,2
magyar,11
magyar,2
latin,2
latin,6
latin,1
magyar,5
magyar,2
latin,1
magyar,1
magyar,1
magyar,2
magyar,2
latin,1
latin,1
latin,2
magyar,1
latin,2
latin,2
magyar,1
magyar,20
magyar,2
latin,1
latin,1
latin,20
magyar,1
magyar,7
magyar,3
magyar,2
magyar,15
latin,2
magyar,1
magyar,3
magyar,2
magyar,40
magyar,1
magyar,66
magyar,1
magyar,4
magyar,18
latin,1
magyar,6
latin,18
magyar,1
magyar,5
latin,1
latin,3
latin,1
magyar,134
latin,1
német,1
magyar,1
latin,6
latin,3
latin,2
latin,2
magyar,1
latin,1
magyar,5
latin,38
magyar,1
latin,1
latin,1
latin,2
latin,3
magyar,6
latin,1
latin,1
latin,1
latin,1
latin,1
latin,5
latin,1
latin,11
latin,1
német,1
latin,2
latin,1
latin,1
latin,1
latin,1
latin,15
magyar,21
magyar,14
magyar,3
magyar,1
latin,7
magyar,1
latin,23
latin,1
magyar,1
latin,9
latin,2
német,1
magyar,2
latin,3
latin,1
magyar,2
latin,1
latin,1
latin,14
latin,2
latin,8
latin,1
latin,5
latin,6
latin,4
latin,14
latin,6
latin,5
latin,3
latin,1
latin,2
latin,4
latin,1
latin,12
magyar,15
magyar,1
magyar,1
magyar,2
magyar,7
latin,3
latin,3
latin,1
magyar,2
latin,1
latin,1
magyar,2
magyar,3
magyar,1
magyar,1
latin,1
magyar,3
latin,2
latin,2
latin,67
magyar,5
magyar,3
német,8
német,1
latin,1
latin,4
latin,2
latin,4
magyar,60
latin,12
magyar,22
magyar,27
magyar,23
magyar,1
latin,7
német,1
magyar,1
magyar,3
magyar,2
magyar,1
latin,1
magyar,5
latin,1
magyar,2
latin,1
német,1
latin,1
latin,1
magyar,3
magyar,1
német,1
német,1
magyar,1
német,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,3
latin,1
magyar,6
latin,4
latin,2
latin,1
magyar,1
magyar,4
magyar,3
latin,2
latin,2
latin,13
latin,1
magyar,3
latin,6
latin,1
magyar,1
latin,1
magyar,2
magyar,3
magyar,1
latin,1
magyar,1
magyar,2
latin,2
latin,1
latin,3
latin,1
latin,29
magyar,7
magyar,2
latin,1
latin,2
magyar,1
latin,1
latin,1
latin,7
latin,2
latin,1
magyar,1
latin,1
magyar,5
magyar,39
magyar,26
magyar,2
latin,8
latin,1
magyar,4
