genre,count
tudományos,2
tudományos,10
egyházi-vallási,5
állami működéshez kapcsolódó,0
egyházi-vallási,1
egyházi-vallási,1
alkalmi,4
egyházi-vallási,4
egyházi-vallási,4
iskolai,0
tudományos,0
iskolai,1
egyházi-vallási,16
szórakoztató,14
szórakoztató,3
iskolai,0
iskolai,0
iskolai,2
állami működéshez kapcsolódó,13
iskolai,2
szórakoztató,5
szórakoztató,2
iskolai,1
szórakoztató,1
szórakoztató,0
szórakoztató,5
iskolai,3
egyházi-vallási,1
iskolai,2
egyházi-vallási,0
egyházi-vallási,0
egyházi-vallási,23
iskolai,1
iskolai,11
szórakoztató,2
egyházi-vallási,4
egyházi-vallási,1
állami működéshez kapcsolódó,15
állami működéshez kapcsolódó,3
egyházi-vallási,0
egyházi-vallási,0
egyházi-vallási,5
szórakoztató,0
szórakoztató,0
egyházi-vallási,3
egyházi-vallási,8
egyházi-vallási,9
egyházi-vallási,11
iskolai,1
iskolai,1
iskolai,1
egyházi-vallási,2
iskolai,0
iskolai,0
iskolai,0
egyházi-vallási,2
egyházi-vallási,2
egyházi-vallási,3
szórakoztató,2
egyházi-vallási,0
egyházi-vallási,1
állami működéshez kapcsolódó,12
egyházi-vallási,1
tudományos,4
egyházi-vallási,20
egyházi-vallási,3
egyházi-vallási,12
egyházi-vallási,0
egyházi-vallási,0
egyházi-vallási,23
egyházi-vallási,14
iskolai,1
szórakoztató,3
egyházi-vallási,1
egyházi-vallási,2
egyházi-vallási,1
egyházi-vallási,5
iskolai,1
egyházi-vallási,3
iskolai,0
szórakoztató,5
egyházi-vallási,1
iskolai,1
szórakoztató,9
szórakoztató,4
szórakoztató,3
egyházi-vallási,0
iskolai,0
szórakoztató,0
egyházi-vallási,0
szórakoztató,1
egyházi-vallási,1
egyházi-vallási,1
iskolai,1
állami működéshez kapcsolódó,3
egyházi-vallási,2
szórakoztató,7
szórakoztató,1
egyházi-vallási,0
egyházi-vallási,1
szórakoztató,1
egyházi-vallási,2
iskolai,0
tudományos,4
egyházi-vallási,1
iskolai,0
egyházi-vallási,6
iskolai,0
szórakoztató,2
iskolai,2
iskolai,0
egyházi-vallási,15
egyházi-vallási,3
egyházi-vallási,2
szórakoztató,2
