format,count
2,10
2,5
2,4
2,4
2,4
2,3
2,1
2,3
2,0
2,9
2,6
2,2
2,2
2,12
2,16
2,30
2,5
2,3
2,3
2,10
2,1
2,3
2,11
2,1
2,7
2,5
2,46
2,0
2,2
2,6
2,2
2,5
2,4
2,4
2,16
2,13
2,3
2,1
2,7
2,4
2,2
2,38
2,71
2,1
2,1
2,4
2,1
2,0
2,67
2,1
2,1
2,1
2,1
2,1
2,26
2,1
2,1
2,1
2,0
2,1
2,1
2,6
2,63
2,1
2,1
2,3
2,13
2,8
2,6
2,2
2,0
2,1
2,3
2,1
2,1
2,71
2,1
2,3
2,3
2,1
2,4
2,7
2,1
2,2
2,1
2,58
2,1
2,1
2,1
2,1
2,2
2,5
2,3
2,2
2,1
2,1
2,3
2,1
2,120
2,102
2,4
2,4
2,1
2,2
2,4
2,0
2,5
2,1
2,1
2,3
2,2
2,15
2,66
2,0
2,6
2,3
2,0
2,134
2,5
2,38
2,1
2,6
2,1
2,0
2,1
2,7
2,38
2,1
2,1
2,4
2,26
2,4
2,6
2,1
2,10
2,2
2,6
2,2
2,0
2,1
2,6
2,1
2,1
2,5
2,1
2,6
2,1
2,5
2,1
2,4
2,8
2,88
2,6
2,1
2,7
2,2
2,4
2,2
2,1
2,67
2,60
2,1
2,3
2,1
2,1
2,3
2,0
2,1
2,1
2,4
2,1
2,0
2,2
2,1
2,4
2,2
2,1
2,2
2,3
2,1
2,3
2,1
2,3
2,4
2,1
2,1
2,4
2,4
2,5
2,88
2,1
2,1
2,5
2,2
2,1
2,24
2,2
2,5
2,5
2,2
2,2
2,5
2,6
2,1
2,1
2,6
2,6
2,1
2,2
2,27
2,4
2,9
2,0
2,8
2,8
2,3
2,3
2,1
2,9
2,1
2,9
2,6
2,1
2,1
2,2
2,4
2,0
2,0
2,4
2,34
2,1
2,1
2,2
2,2
2,1
2,1
2,1
2,1
2,2
2,4
2,6
2,1
2,1
2,1
2,1
2,2
2,1
2,1
2,4
2,36
2,1
2,1
2,1
2,5
2,1
2,1
2,1
2,1
2,0
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,2
2,1
2,1
2,1
2,2
2,3
2,1
2,4
2,5
2,1
2,1
2,1
2,1
2,2
2,5
2,7
2,0
2,1
2,1
2,1
2,7
2,4
2,0
2,30
2,1
2,2
2,2
2,5
2,6
2,1
2,32
2,3
2,8
2,1
2,1
2,1
2,5
2,2
2,1
2,1
2,1
2,7
2,2
2,2
2,0
2,2
2,11
2,3
2,1
2,1
2,1
2,1
2,7
2,1
2,4
2,10
2,1
2,1
2,8
2,5
2,5
2,1
2,1
2,0
2,0
2,11
2,0
2,1
2,8
2,2
2,1
2,3
2,5
2,5
2,1
2,1
2,17
2,7
2,1
2,1
2,3
2,1
2,1
2,1
2,4
2,9
2,6
2,2
2,1
2,2
2,2
2,2
2,2
2,1
