format,count
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,7
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,1
egyéb,1
egyéb,0
egyéb,0
egyéb,1
egyéb,2
egyéb,6
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,1
egyéb,5
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,2
egyéb,2
egyéb,1
egyéb,0
egyéb,4
egyéb,0
egyéb,1
egyéb,1
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,2
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,3
egyéb,0
egyéb,0
egyéb,1
egyéb,5
egyéb,2
egyéb,0
egyéb,4
egyéb,2
egyéb,0
egyéb,3
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,2
egyéb,1
egyéb,1
egyéb,2
egyéb,3
egyéb,3
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,5
egyéb,1
egyéb,1
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,5
egyéb,0
egyéb,0
egyéb,1
egyéb,16
egyéb,2
egyéb,2
egyéb,1
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,5
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,2
egyéb,0
egyéb,6
egyéb,0
egyéb,1
egyéb,2
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,1
egyéb,0
egyéb,2
egyéb,1
egyéb,1
egyéb,1
egyéb,1
egyéb,0
egyéb,0
egyéb,2
egyéb,3
egyéb,4
egyéb,0
egyéb,2
egyéb,0
egyéb,7
egyéb,4
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,2
egyéb,5
egyéb,0
egyéb,2
egyéb,7
egyéb,2
egyéb,2
egyéb,11
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,2
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,4
egyéb,3
egyéb,1
egyéb,4
egyéb,2
egyéb,9
egyéb,2
egyéb,6
egyéb,2
egyéb,0
egyéb,0
egyéb,0
egyéb,2
egyéb,5
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,6
egyéb,5
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,5
egyéb,1
egyéb,0
egyéb,1
egyéb,3
egyéb,3
egyéb,8
egyéb,0
egyéb,2
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,2
egyéb,1
egyéb,1
egyéb,4
egyéb,1
egyéb,0
egyéb,0
egyéb,2
egyéb,2
egyéb,1
egyéb,1
egyéb,0
egyéb,0
egyéb,2
egyéb,1
egyéb,0
egyéb,4
egyéb,1
egyéb,4
egyéb,0
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,0
egyéb,4
egyéb,0
egyéb,0
egyéb,0
egyéb,1
egyéb,3
egyéb,7
egyéb,0
egyéb,1
egyéb,0
egyéb,1
egyéb,0
egyéb,0
egyéb,0
