nyelv,count
latin,2
latin,10
latin,5
latin,1
latin,1
latin,4
latin,0
latin,16
latin,14
latin,3
latin,0
latin,2
latin,13
latin,5
latin,2
latin,0
latin,3
latin,1
latin,11
latin,4
latin,15
latin,3
latin,5
latin,0
latin,11
latin,1
latin,1
latin,1
latin,0
latin,2
latin,2
latin,12
latin,4
latin,1
latin,1
latin,3
latin,5
latin,1
latin,1
latin,4
latin,0
latin,0
latin,1
latin,1
latin,3
latin,2
latin,7
latin,0
latin,1
latin,2
latin,4
latin,6
latin,0
latin,2
latin,0
latin,2
latin,2
latin,4
latin,2
latin,0
latin,1
latin,1
latin,1
latin,2
latin,2
latin,2
latin,2
latin,1
latin,1
latin,9
latin,3
latin,4
latin,14
latin,1
latin,1
latin,5
latin,2
latin,3
latin,1
latin,5
latin,8
latin,1
latin,16
latin,30
latin,1
latin,1
latin,1
latin,0
latin,1
latin,3
latin,0
latin,2
latin,2
latin,3
latin,0
latin,6
latin,11
latin,1
latin,1
latin,0
latin,10
latin,11
latin,21
latin,3
latin,13
latin,11
latin,4
latin,15
latin,30
latin,16
latin,0
latin,20
latin,0
latin,10
latin,2
latin,6
latin,8
latin,7
latin,1
latin,0
latin,1
latin,4
latin,41
latin,0
latin,0
latin,2
latin,0
latin,1
latin,1
latin,1
latin,0
latin,0
latin,2
latin,5
latin,0
latin,1
latin,1
latin,1
latin,9
latin,2
latin,3
latin,0
latin,0
latin,2
latin,1
latin,0
latin,33
latin,1
latin,1
latin,0
latin,0
latin,7
latin,1
latin,1
latin,1
latin,12
latin,1
latin,6
latin,1
latin,1
latin,1
latin,2
latin,1
latin,2
latin,36
latin,1
latin,2
latin,3
latin,1
latin,2
latin,5
latin,1
latin,11
latin,5
latin,71
latin,6
latin,2
latin,1
latin,0
latin,0
latin,0
latin,1
latin,3
latin,16
latin,1
latin,7
latin,0
latin,1
latin,5
latin,0
latin,25
latin,1
latin,0
latin,1
latin,1
latin,2
latin,2
latin,2
latin,2
latin,4
latin,0
latin,1
latin,1
latin,3
latin,1
latin,1
latin,5
latin,1
latin,1
latin,0
latin,3
latin,6
latin,3
latin,1
latin,0
latin,1
latin,1
latin,2
latin,12
latin,0
latin,0
latin,1
latin,1
latin,1
latin,6
latin,5
latin,10
latin,1
latin,9
latin,1
latin,49
latin,1
latin,0
latin,1
latin,9
latin,1
latin,1
latin,2
latin,0
latin,1
latin,0
latin,2
latin,0
latin,1
latin,3
latin,2
latin,1
latin,0
latin,8
latin,1
latin,6
latin,0
latin,1
latin,0
latin,6
latin,5
latin,26
latin,4
latin,1
latin,2
latin,15
latin,7
latin,1
latin,2
latin,2
latin,1
latin,1
latin,22
latin,0
latin,3
latin,1
latin,3
latin,1
latin,2
latin,3
latin,1
latin,3
latin,4
latin,1
latin,5
latin,1
latin,1
latin,1
latin,44
latin,6
latin,2
latin,5
latin,10
latin,1
latin,1
latin,12
latin,1
latin,1
latin,1
latin,0
latin,2
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,4
latin,4
latin,1
latin,2
latin,2
latin,0
latin,8
latin,1
latin,4
latin,2
latin,4
latin,13
latin,8
latin,3
latin,0
latin,14
latin,0
latin,1
latin,0
latin,5
latin,4
latin,0
latin,2
latin,11
latin,9
latin,4
latin,1
latin,1
latin,11
latin,1
latin,25
latin,1
latin,5
latin,2
latin,2
latin,4
latin,0
latin,2
latin,2
latin,5
latin,1
latin,0
latin,0
latin,1
latin,1
latin,7
latin,1
latin,2
latin,1
latin,7
latin,6
latin,3
latin,1
latin,1
latin,0
latin,6
latin,7
latin,12
latin,1
latin,1
latin,0
latin,2
latin,1
latin,1
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,1
latin,13
latin,29
latin,0
latin,1
latin,1
latin,1
latin,8
latin,1
latin,2
latin,2
latin,6
latin,2
latin,0
latin,0
latin,2
latin,1
latin,2
latin,3
latin,4
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,7
latin,30
latin,1
latin,3
latin,1
latin,1
latin,1
latin,3
latin,8
latin,27
latin,2
latin,1
latin,1
latin,2
latin,1
latin,2
latin,11
latin,2
latin,0
latin,1
latin,1
latin,1
latin,0
latin,5
latin,0
latin,0
latin,1
latin,1
latin,1
latin,3
latin,1
latin,2
latin,0
latin,1
latin,67
latin,0
latin,0
latin,1
latin,1
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,1
latin,0
latin,1
latin,2
latin,1
latin,6
latin,20
latin,1
latin,2
latin,1
latin,1
latin,1
latin,1
latin,11
latin,0
latin,1
latin,5
latin,1
latin,3
latin,4
latin,1
latin,0
latin,3
latin,0
latin,2
latin,6
latin,1
latin,1
latin,1
latin,1
latin,2
latin,0
latin,2
latin,2
latin,1
latin,1
latin,20
latin,2
latin,0
latin,0
latin,0
latin,0
latin,0
latin,0
latin,1
latin,18
latin,0
latin,0
latin,1
latin,0
latin,0
latin,0
latin,0
latin,3
latin,0
latin,1
latin,1
latin,0
latin,6
latin,3
latin,2
latin,2
latin,0
latin,0
latin,1
latin,38
latin,10
latin,2
latin,1
latin,1
latin,1
latin,1
latin,0
latin,0
latin,0
latin,0
latin,1
latin,1
latin,0
latin,0
latin,3
latin,0
latin,1
latin,1
latin,39
latin,1
latin,1
latin,0
latin,0
latin,1
latin,2
latin,1
latin,0
latin,0
latin,1
latin,0
latin,0
latin,3
latin,2
latin,1
latin,1
latin,2
latin,38
latin,23
latin,1
latin,1
latin,1
latin,13
latin,1
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,4
latin,3
latin,3
latin,3
latin,1
latin,1
latin,0
latin,4
latin,3
latin,0
latin,26
latin,3
latin,3
latin,1
latin,1
latin,1
latin,6
latin,5
latin,1
latin,3
latin,0
latin,1
latin,1
latin,3
latin,2
latin,18
latin,2
latin,2
latin,2
latin,4
latin,13
latin,1
latin,3
latin,2
latin,1
latin,4
latin,4
latin,2
latin,2
latin,1
latin,4
latin,2
latin,3
latin,0
latin,0
latin,0
latin,1
latin,0
latin,2
latin,1
latin,1
latin,2
latin,0
latin,0
latin,3
latin,3
latin,1
latin,4
latin,4
latin,1
latin,8
latin,2
latin,2
latin,3
latin,5
latin,2
latin,11
latin,1
latin,24
latin,1
latin,12
latin,3
latin,1
latin,1
latin,2
latin,1
latin,0
latin,1
latin,2
latin,8
latin,2
latin,0
latin,1
latin,1
latin,6
latin,8
latin,1
latin,2
latin,3
latin,0
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,0
latin,1
latin,9
latin,0
latin,2
latin,14
latin,0
latin,2
latin,1
latin,8
latin,1
latin,2
latin,1
latin,1
latin,6
latin,5
latin,0
latin,0
latin,5
latin,23
latin,2
latin,1
latin,7
latin,3
latin,30
latin,1
latin,1
latin,4
latin,6
latin,1
latin,1
latin,0
latin,9
latin,1
latin,1
latin,7
latin,3
latin,1
latin,1
latin,1
latin,9
latin,1
latin,9
latin,2
latin,2
latin,1
latin,1
latin,7
latin,7
latin,10
latin,1
latin,1
latin,3
latin,9
latin,11
latin,10
latin,9
latin,8
latin,1
latin,1
latin,5
latin,1
latin,1
latin,1
latin,2
latin,7
latin,1
latin,6
latin,4
latin,5
latin,2
latin,1
latin,0
latin,1
latin,5
latin,27
latin,12
latin,4
latin,1
latin,0
latin,1
latin,1
latin,2
latin,3
latin,1
latin,1
latin,1
latin,1
latin,1
latin,0
latin,5
latin,1
latin,11
latin,1
latin,2
latin,1
latin,1
latin,1
latin,1
latin,15
latin,7
latin,23
latin,1
latin,9
latin,2
latin,3
latin,1
latin,1
latin,1
latin,14
latin,2
latin,8
latin,1
latin,5
latin,6
latin,4
latin,14
latin,6
latin,5
latin,3
latin,1
latin,2
latin,4
latin,1
latin,12
latin,3
latin,3
latin,1
latin,1
latin,1
latin,1
latin,2
latin,0
latin,2
latin,67
latin,0
latin,1
latin,4
latin,2
latin,4
latin,12
latin,0
latin,7
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,1
latin,0
latin,1
latin,0
latin,1
latin,1
latin,3
latin,1
latin,4
latin,0
latin,2
latin,0
latin,1
latin,2
latin,2
latin,13
latin,1
latin,6
latin,1
latin,1
latin,1
latin,2
latin,1
latin,3
latin,1
latin,29
latin,0
latin,1
latin,2
latin,1
latin,0
latin,1
latin,7
latin,2
latin,1
latin,1
latin,8
latin,0
latin,1
latin,2
latin,2
latin,1
latin,1
latin,1
latin,23
latin,1
latin,2
latin,3
latin,1
latin,1
latin,49
latin,13
latin,0
latin,1
latin,1
latin,11
latin,0
latin,0
latin,1
latin,5
latin,1
latin,0
latin,0
latin,2
latin,1
latin,1
latin,1
latin,0
latin,1
latin,6
latin,0
latin,3
latin,1
latin,2
latin,4
latin,0
latin,6
latin,2
latin,0
latin,6
latin,1
latin,1
latin,0
latin,1
latin,0
latin,0
latin,1
latin,1
latin,1
latin,0
latin,0
latin,7
latin,21
latin,0
latin,2
latin,4
latin,32
latin,1
latin,9
latin,3
latin,1
latin,0
latin,1
latin,1
latin,5
latin,1
latin,4
latin,1
latin,2
latin,24
latin,1
latin,0
latin,1
latin,2
latin,1
latin,0
latin,8
latin,0
latin,0
latin,4
latin,0
latin,25
latin,3
latin,1
latin,2
latin,1
latin,2
latin,3
latin,2
latin,1
latin,3
latin,5
latin,15
latin,2
latin,3
latin,0
latin,2
latin,0
latin,2
latin,1
latin,2
latin,3
latin,1
latin,1
latin,0
latin,95
latin,3
latin,2
latin,1
latin,0
latin,2
latin,1
latin,10
latin,11
latin,1
latin,1
latin,1
latin,1
latin,2
latin,0
latin,0
latin,0
latin,0
latin,1
latin,1
latin,1
latin,1
latin,1
latin,29
latin,3
latin,1
latin,2
latin,2
latin,1
latin,2
latin,9
latin,0
latin,40
latin,26
latin,6
latin,7
latin,2
latin,0
latin,1
latin,1
latin,2
latin,2
latin,0
latin,4
latin,4
latin,0
latin,1
latin,4
latin,1
latin,0
latin,1
latin,1
latin,3
latin,6
latin,0
latin,1
latin,0
latin,0
latin,1
latin,1
latin,1
latin,0
latin,3
latin,4
latin,2
latin,3
latin,10
latin,3
latin,0
latin,2
latin,2
latin,1
latin,1
latin,2
latin,6
latin,2
latin,6
latin,11
latin,0
latin,1
latin,0
latin,3
latin,0
latin,0
latin,10
latin,0
latin,2
latin,25
latin,2
latin,4
latin,6
latin,0
latin,0
latin,0
latin,0
latin,0
latin,5
latin,1
latin,1
latin,7
latin,3
latin,4
latin,2
latin,3
latin,3
latin,0
latin,0
latin,3
latin,3
latin,2
latin,1
latin,2
latin,1
latin,1
latin,2
latin,1
latin,1
latin,1
latin,2
latin,1
latin,2
latin,2
latin,1
latin,4
latin,28
latin,3
latin,13
latin,9
latin,14
latin,1
latin,2
latin,3
latin,1
latin,2
latin,1
latin,4
latin,1
latin,1
latin,1
latin,2
latin,1
latin,7
latin,2
latin,1
latin,0
latin,1
latin,1
latin,8
latin,0
latin,50
latin,0
latin,10
latin,1
latin,1
latin,7
latin,1
latin,36
latin,3
latin,1
latin,1
latin,0
latin,1
latin,1
latin,1
latin,1
latin,1
latin,0
latin,1
latin,1
latin,3
latin,0
latin,0
latin,5
latin,10
latin,2
latin,1
latin,0
latin,3
latin,0
latin,1
latin,2
latin,1
latin,2
latin,0
latin,0
latin,0
latin,0
latin,5
latin,1
latin,0
latin,3
latin,1
latin,0
latin,1
latin,7
latin,3
latin,2
latin,1
latin,1
latin,0
latin,28
latin,1
latin,1
latin,0
latin,1
latin,0
latin,1
latin,6
latin,1
latin,1
latin,1
latin,20
latin,5
latin,1
latin,51
latin,0
latin,2
latin,1
latin,1
latin,1
latin,1
latin,9
latin,12
latin,12
latin,1
latin,1
latin,2
latin,2
latin,1
latin,3
latin,3
latin,7
latin,0
latin,0
latin,3
latin,4
latin,1
latin,1
latin,5
latin,1
latin,5
latin,1
latin,34
latin,1
latin,3
latin,5
latin,8
latin,8
latin,1
latin,0
latin,1
latin,8
latin,2
latin,37
latin,4
latin,4
latin,0
latin,2
latin,30
latin,2
latin,2
latin,2
latin,1
latin,1
latin,1
latin,4
latin,3
latin,1
latin,5
latin,13
latin,1
latin,6
latin,6
latin,1
latin,17
latin,49
latin,4
latin,8
latin,1
latin,2
latin,4
latin,8
latin,0
latin,3
latin,0
latin,9
latin,1
latin,5
latin,1
latin,0
latin,1
latin,3
latin,7
latin,1
latin,8
latin,4
latin,1
latin,0
latin,2
latin,2
latin,1
latin,1
latin,1
latin,3
latin,6
latin,3
latin,2
latin,45
latin,2
latin,0
latin,2
latin,2
latin,1
latin,12
latin,12
latin,1
latin,1
latin,3
latin,1
latin,0
latin,4
latin,6
latin,4
latin,1
latin,5
latin,0
latin,1
latin,1
latin,1
latin,0
latin,9
latin,5
latin,9
latin,27
latin,1
latin,1
latin,10
latin,2
latin,2
latin,0
latin,1
latin,0
latin,0
latin,10
latin,11
latin,1
latin,27
latin,1
latin,0
latin,8
latin,1
latin,1
latin,39
latin,54
latin,1
latin,1
latin,3
latin,0
latin,5
latin,1
latin,2
latin,3
latin,4
latin,2
latin,42
latin,39
latin,3
latin,2
latin,6
latin,3
latin,5
latin,1
latin,1
latin,30
latin,2
latin,4
latin,34
latin,30
latin,7
latin,1
latin,0
latin,1
latin,2
latin,8
latin,2
latin,23
latin,2
latin,1
