nyelv,count
magyar,1
magyar,0
magyar,0
magyar,23
magyar,3
magyar,0
magyar,1
magyar,1
magyar,20
magyar,3
magyar,12
magyar,23
magyar,14
magyar,3
magyar,2
magyar,1
magyar,5
magyar,9
magyar,1
magyar,2
magyar,0
magyar,0
magyar,1
magyar,7
magyar,1
magyar,2
magyar,0
magyar,11
magyar,3
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,6
magyar,1
magyar,2
magyar,1
magyar,27
magyar,0
magyar,2
magyar,1
magyar,1
magyar,0
magyar,13
magyar,0
magyar,15
magyar,12
magyar,0
magyar,12
magyar,9
magyar,6
magyar,2
magyar,1
magyar,6
magyar,0
magyar,5
magyar,5
magyar,0
magyar,0
magyar,0
magyar,4
magyar,3
magyar,1
magyar,5
magyar,10
magyar,0
magyar,21
magyar,1
magyar,0
magyar,3
magyar,1
magyar,1
magyar,0
magyar,11
magyar,2
magyar,1
magyar,0
magyar,2
magyar,1
magyar,8
magyar,1
magyar,1
magyar,0
magyar,0
magyar,6
magyar,6
magyar,1
magyar,0
magyar,1
magyar,0
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,14
magyar,0
magyar,41
magyar,0
magyar,1
magyar,1
magyar,1
magyar,1
magyar,0
magyar,1
magyar,1
magyar,0
magyar,2
magyar,1
magyar,0
magyar,10
magyar,1
magyar,1
magyar,1
magyar,0
magyar,19
magyar,24
magyar,1
magyar,1
magyar,1
magyar,0
magyar,0
magyar,1
magyar,0
magyar,2
magyar,1
magyar,0
magyar,2
magyar,1
magyar,1
magyar,1
magyar,10
magyar,13
magyar,2
magyar,1
magyar,2
magyar,20
magyar,2
magyar,3
magyar,17
magyar,7
magyar,1
magyar,46
magyar,1
magyar,19
magyar,6
magyar,2
magyar,4
magyar,1
magyar,0
magyar,1
magyar,0
magyar,1
magyar,1
magyar,0
magyar,1
magyar,3
magyar,3
magyar,3
magyar,3
magyar,3
magyar,4
magyar,3
magyar,0
magyar,0
magyar,2
magyar,2
magyar,2
magyar,0
magyar,1
magyar,1
magyar,20
magyar,2
magyar,1
magyar,1
magyar,44
magyar,0
magyar,0
magyar,1
magyar,6
magyar,1
magyar,0
magyar,6
magyar,2
magyar,4
magyar,1
magyar,6
magyar,10
magyar,2
magyar,3
magyar,2
magyar,3
magyar,2
magyar,2
magyar,0
magyar,2
magyar,0
magyar,1
magyar,1
magyar,5
magyar,1
magyar,9
magyar,1
magyar,0
magyar,4
magyar,0
magyar,1
magyar,0
magyar,7
magyar,2
magyar,3
magyar,2
magyar,1
magyar,2
magyar,3
magyar,4
magyar,0
magyar,57
magyar,0
magyar,3
magyar,18
magyar,0
magyar,1
magyar,1
magyar,2
magyar,2
magyar,6
magyar,2
magyar,3
magyar,1
magyar,0
magyar,5
magyar,2
magyar,1
magyar,1
magyar,3
magyar,2
magyar,2
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,10
magyar,0
magyar,1
magyar,0
magyar,1
magyar,1
magyar,4
magyar,22
magyar,0
magyar,1
magyar,3
magyar,1
magyar,0
magyar,13
magyar,1
magyar,38
magyar,1
magyar,0
magyar,0
magyar,0
magyar,0
magyar,14
magyar,14
magyar,19
magyar,15
magyar,5
magyar,2
magyar,0
magyar,7
magyar,1
magyar,25
magyar,2
magyar,1
magyar,1
magyar,0
magyar,1
magyar,1
magyar,3
magyar,0
magyar,0
magyar,1
magyar,1
magyar,3
magyar,1
magyar,2
magyar,19
magyar,1
magyar,0
magyar,3
magyar,4
magyar,3
magyar,30
magyar,1
magyar,5
magyar,2
magyar,2
magyar,2
magyar,1
magyar,44
magyar,45
magyar,4
magyar,1
magyar,1
magyar,0
magyar,1
magyar,4
magyar,2
magyar,1
magyar,0
magyar,67
magyar,2
magyar,1
magyar,3
magyar,3
magyar,2
magyar,10
magyar,1
magyar,1
magyar,0
magyar,5
magyar,10
magyar,3
magyar,2
magyar,1
magyar,1
magyar,1
magyar,3
magyar,3
magyar,1
magyar,5
magyar,6
magyar,4
magyar,2
magyar,1
magyar,0
magyar,0
magyar,0
magyar,1
magyar,1
magyar,2
magyar,0
magyar,0
magyar,0
magyar,2
magyar,4
magyar,0
magyar,3
magyar,2
magyar,1
magyar,1
magyar,0
magyar,1
magyar,2
magyar,6
magyar,3
magyar,3
magyar,6
magyar,3
magyar,0
magyar,0
magyar,0
magyar,0
magyar,4
magyar,2
magyar,6
magyar,11
magyar,2
magyar,1
magyar,1
magyar,2
magyar,2
magyar,0
magyar,1
magyar,1
magyar,1
magyar,2
magyar,6
magyar,2
magyar,1
magyar,10
magyar,1
magyar,1
magyar,0
magyar,0
magyar,0
magyar,0
magyar,2
magyar,2
magyar,0
magyar,5
magyar,0
magyar,1
magyar,1
magyar,3
magyar,14
magyar,0
magyar,14
magyar,2
magyar,2
magyar,1
magyar,2
magyar,60
magyar,2
magyar,5
magyar,1
magyar,1
magyar,3
magyar,1
magyar,1
magyar,0
