data,method,estimation,richness,min,max,S,n,phase
S1-random,bázis,chao1,936.38,897.94,1015.1,656,3017,S1
S1-random,bázis,ichao1,1004.03,934.47,1089.6,656,3017,S1
S1-random,bázis,ace,942.5,906.96,979.96,656,3017,S1
S1-random,bázis,jackknife,1137,1011.13,1262.87,656,3017,S1
S1-random,bázis,egghe_proot,1061.41,979.71,1138.81,656,3017,S1
S1-random,a,chao1,1082.78,997.65,1157.95,756,3536,S1
S1-random,a,ichao1,1160.65,1074.41,1255.37,756,3536,S1
S1-random,a,ace,1090.07,1033.08,1149.42,756,3536,S1
S1-random,a,jackknife,1316,1181,1451,756,3536,S1
S1-random,a,egghe_proot,1231.42,1145.62,1329.42,756,3536,S1
S1-random,b,chao1,1283.59,1202.25,1393.77,756,3117,S1
S1-random,b,ichao1,1393.6,1274.22,1490.44,756,3117,S1
S1-random,b,ace,1233.02,1157.7,1311.34,756,3117,S1
S1-random,b,jackknife,1666,1447.13,1884.87,756,3117,S1
S1-random,b,egghe_proot,1498.45,1356.88,1647.74,756,3117,S1
S1-random,c,chao1,1129.74,1082.32,1195.11,697,3117,S1
S1-random,c,ichao1,1223.43,1164.48,1296.93,697,3117,S1
S1-random,c,ace,1044.27,968.61,1114.49,697,3117,S1
S1-random,c,jackknife,1665,1338.64,1991.36,697,3117,S1
S1-random,c,egghe_proot,1359.04,1323.14,1396.57,697,3117,S1
S1-random,d,chao1,826.95,774.51,883.91,656,3117,S1
S1-random,d,ichao1,868.32,819.69,917.32,656,3117,S1
S1-random,d,ace,872.43,813.75,913.15,656,3117,S1
S1-random,d,jackknife,960,887.51,1032.49,656,3117,S1
S1-random,d,egghe_proot,889.87,837.98,960.62,656,3117,S1
S2-random,bázis,chao1,1002.48,944.71,1094.7,686,3083,S2
S2-random,bázis,ichao1,1075.26,984.74,1142.8,686,3083,S2
S2-random,bázis,ace,997.44,952.32,1047.69,686,3083,S2
S2-random,bázis,jackknife,1220,1090.46,1349.54,686,3083,S2
S2-random,bázis,egghe_proot,1145.82,1064.01,1250.07,686,3083,S2
S2-random,a,chao1,1145.49,1089.57,1220.92,785,3539,S2
