set,method,estimation,min,max
brewer,chao1,5242.19,5122.40,5336.43
brewer,ichao1,5620.62,5411.52,5767.34
brewer,ace,5096.80,5017.71,5223.96
brewer,jackknife,6694.00,6233.05,7154.95
brewer,egghe_proot,6106.59,5940.16,6347.14
latin,chao1,5271.83,5178.69,5409.58
latin,ichao1,5655.40,5485.43,5892.56
latin,ace,5110.67,5030.08,5221.82
latin,jackknife,6776.00,6315.30,7236.70
latin,egghe_proot,6164.35,5967.38,6305.50
random,chao1,5243.63,5107.99,5369.40
random,ichao1,5615.28,5443.52,5813.01
random,ace,5089.36,5024.27,5150.90
random,jackknife,6696.00,6236.10,7155.90
random,egghe_proot,6122.91,5822.44,6418.26
full,chao1,5091.85,4944.93,5288.60
full,ichao1,5456.22,5293.26,5665.04
full,ace,4945.63,4844.41,5047.13
full,jackknife,6506.00,6052.24,6959.76
full,egghe_proot,5940.42,5751.31,6187.07
phase1,chao1,5068.90,4959.08,5191.59
phase1,ichao1,5438.71,5180.17,5639.12
phase1,ace,4919.33,4805.69,5023.44
phase1,jackknife,6506.00,6053.63,6958.37
phase1,egghe_proot,5920.96,5577.27,6136.80
brewer2,chao1,4937.17,4825.79,5053.94
brewer2,ichao1,5268.41,5089.88,5435.33
brewer2,ace,4863.58,4747.28,4928.07
brewer2,jackknife,5984.00,5700.31,6267.69
brewer2,egghe_proot,5693.25,5570.22,5924.91
