data,method,estimation,richness,min,max,S,n,phase
S1-random,bázis,chao1,933.8,880.27,1001.34,651,2973,S1
S1-random,bázis,ichao1,1001.42,924.02,1061.36,651,2973,S1
S1-random,bázis,ace,935,887.58,975.9,651,2973,S1
S1-random,bázis,jackknife,1136,1010.75,1261.25,651,2973,S1
S1-random,bázis,egghe_proot,1063.45,944.47,1166.66,651,2973,S1
S1-random,a,chao1,1075.78,998.52,1147.73,751,3445,S1
S1-random,a,ichao1,1155.02,1107.55,1192.53,751,3445,S1
S1-random,a,ace,1081.42,1024.91,1124.15,751,3445,S1
S1-random,a,jackknife,1310,1175.37,1444.63,751,3445,S1
S1-random,a,egghe_proot,1223.53,1160.98,1298.03,751,3445,S1
S1-random,b,chao1,1285.31,1242.93,1355.62,751,3073,S1
S1-random,b,ichao1,1394.83,1300.32,1494.77,751,3073,S1
S1-random,b,ace,1225.4,1173.14,1266.71,751,3073,S1
S1-random,b,jackknife,1674,1456.1,1891.9,751,3073,S1
S1-random,b,egghe_proot,1507.25,1361.27,1634.57,751,3073,S1
S1-random,c,chao1,1139.33,1067.15,1200.73,692,3073,S1
S1-random,c,ichao1,1229.08,1135.12,1322.98,692,3073,S1
S1-random,c,ace,1035.8,970.37,1105.13,692,3073,S1
S1-random,c,jackknife,1688,1362.85,2013.15,692,3073,S1
S1-random,c,egghe_proot,1386.51,1291.61,1532.12,692,3073,S1
S1-random,d,chao1,824.67,773.96,875.17,651,3073,S1
S1-random,d,ichao1,868,821.37,938.75,651,3073,S1
S1-random,d,ace,864.61,843.64,901.26,651,3073,S1
S1-random,d,jackknife,956,883.83,1028.17,651,3073,S1
S1-random,d,egghe_proot,893.57,841.84,949.41,651,3073,S1
S2-random,bázis,chao1,984.91,932.51,1050.9,694,3484,S2
S2-random,bázis,ichao1,1057.59,1002.65,1140.21,694,3484,S2
S2-random,bázis,ace,980.53,947.76,1021.76,694,3484,S2
S2-random,bázis,jackknife,1199,1071.95,1326.05,694,3484,S2
S2-random,bázis,egghe_proot,1135.29,1041.08,1312.55,694,3484,S2
S2-random,a,chao1,1133.9,1061.46,1274.8,794,4061,S2
S2-random,a,ichao1,1218.76,1139.48,1290.66,794,4061,S2
S2-random,a,ace,1120.74,1081.66,1147.96,794,4061,S2
S2-random,a,jackknife,1382,1246.21,1517.79,794,4061,S2
S2-random,a,egghe_proot,1314.09,1210.4,1364.88,794,4061,S2
S2-random,b,chao1,1336,1270.42,1452.07,794,3584,S2
S2-random,b,ichao1,1460.15,1367.72,1544.47,794,3584,S2
S2-random,b,ace,1265.28,1169.97,1400.82,794,3584,S2
S2-random,b,jackknife,1937,1590.38,2283.62,794,3584,S2
S2-random,b,egghe_proot,1588.45,1506.74,1728.8,794,3584,S2
S2-random,c,chao1,1170.14,1102.28,1213.04,734,3584,S2
S2-random,c,ichao1,1267.67,1196.41,1337.55,734,3584,S2
S2-random,c,ace,1079.99,1042.6,1151.75,734,3584,S2
S2-random,c,jackknife,1755,1422.95,2087.05,734,3584,S2
S2-random,c,egghe_proot,1426.28,1245.73,1562.35,734,3584,S2
S2-random,d,chao1,872.89,811.92,926.12,694,3584,S2
S2-random,d,ichao1,915.34,862.24,978.96,694,3584,S2
S2-random,d,ace,914.79,883.47,953.78,694,3584,S2
S2-random,d,jackknife,1009,935.56,1082.44,694,3584,S2
S2-random,d,egghe_proot,950.2,838.09,1026.27,694,3584,S2
S2-heltai,bázis,chao1,984.91,932.51,1050.9,694,3484,S2
S2-heltai,bázis,ichao1,1057.59,1002.65,1140.21,694,3484,S2
S2-heltai,bázis,ace,980.53,947.76,1021.76,694,3484,S2
